Praznik;Mjesec;Temperatura;PrethodnaPotrosnja;Potrosnja
1;1;-5.1;157.25;153.0
1;1;-2.8;163.0;161.25
0;1;-4.2;224.5;284.0
0;1;-2.9;228.25;276.5
0;1;-3.4;222.5;273.25
1;1;-3.2;167.0;165.75
0;1;8.1;192.25;195.75
1;1;11.1;171.75;170.75
1;1;5.3;166.75;164.25
0;1;4.9;214.75;266.5
0;1;3.7;229.0;278.5
0;1;4.2;NaN;NaN
0;1;3.4;241.0;312.5
0;1;3.2;218.0;254.5
1;1;3.4;179.5;178.0
1;1;1.5;158.25;154.5
0;1;-1.2;228.25;291.5
0;1;-0.6;244.5;286.5
0;1;-2.2;237.0;275.0
0;1;3.1;249.5;280.0
0;1;1.3;243.0;285.5
1;1;-0.4;181.25;178.25
1;1;-3.5;177.0;171.25
0;1;-4.1;238.25;290.25
0;1;-3.0;228.0;275.75
0;1;-1.1;227.0;265.25
0;1;1.7;234.0;278.75
0;1;-1.0;236.75;283.5
1;1;-3.1;185.25;188.75
1;1;-2.0;172.5;171.0
0;1;-1.4;230.75;277.5
0;2;-2.6;259.75;289.5
0;2;-3.6;243.25;286.25
0;2;-2.3;250.25;281.5
0;2;-4.5;237.75;270.75
1;2;-2.8;178.0;189.75
1;2;-2.8;177.5;170.75
0;2;-2.2;215.25;268.25
0;2;-2.6;234.0;292.25
0;2;2.2;230.75;274.5
0;2;-1.4;228.5;273.0
0;2;-2.1;223.0;261.25
1;2;9.6;179.25;170.75
1;2;2.4;185.0;176.25
0;2;1.4;247.25;286.5
0;2;0.6;260.5;285.25
0;2;0.7;254.5;303.0
0;2;2.0;255.0;306.5
0;2;2.9;247.25;293.0
1;2;0.8;184.5;164.25
1;2;0.6;146.0;142.75
0;2;-1.7;239.0;280.0
0;2;-2.8;247.5;286.75
0;2;-5.4;236.25;278.5
0;2;-5.4;222.75;268.5
0;2;-6.7;243.25;264.75
1;2;-1.4;180.75;173.25
1;2;-2.0;175.75;170.5
0;2;-1.3;243.0;282.5
0;3;-0.1;247.25;298.5
0;3;0.1;240.75;307.75
0;3;-1.8;237.5;281.0
0;3;0.1;240.0;266.5
1;3;0.3;182.467153285;180.390510949
1;3;-1.5;171.959854015;170.087912088
0;3;1.0;226.282051282;252.45620438
0;3;-2.3;246.064981949;283.614814815
0;3;-2.3;243.1875;277.30078125
0;3;-1.2;241.921875;285.902723735
0;3;2.8;234.234375;275.3125
1;3;5.1;189.330708661;183.99609375
1;3;9.3;181.723735409;180.7421875
0;3;14.2;248.57480315;294.76953125
0;3;9.9;237.25;284.0
0;3;9.7;242.0;283.75
0;3;10.5;241.0;295.25
0;3;8.1;245.25;292.75
1;3;5.8;194.25;187.75
1;3;4.7;180.5;177.5
0;3;3.8;231.25;282.75
0;3;3.6;236.0;265.0
0;3;5.2;233.25;261.0
0;3;9.4;227.5;261.75
0;3;7.8;224.75;257.75
1;3;12.3;189.0;194.25
1;3;10.6;185.5;179.0
0;3;9.7;NaN;NaN
0;3;8.9;NaN;NaN
0;3;6.8;245.75;273.0
0;3;10.1;253.5;281.75
0;4;9.5;NaN;NaN
1;4;11.6;NaN;NaN
1;4;13.2;NaN;NaN
0;4;14.0;NaN;NaN
0;4;9.9;NaN;NaN
0;4;12.1;NaN;NaN
0;4;13.1;NaN;NaN
0;4;15.5;NaN;NaN
1;4;14.3;NaN;NaN
1;4;12.3;NaN;NaN
0;4;13.0;NaN;NaN
0;4;16.5;NaN;NaN
0;4;7.9;NaN;NaN
0;4;7.1;NaN;NaN
0;4;9.1;NaN;NaN
1;4;9.3;NaN;NaN
1;4;10.5;158.25;154.25
0;4;10.2;203.25;239.5
0;4;11.5;204.75;254.5
0;4;11.9;208.0;243.75
0;4;12.8;211.0;244.5
0;4;14.2;187.25;241.0
1;4;14.6;149.0;151.0
1;4;17.2;136.5;136.25
1;4;14.2;141.25;143.5
0;4;12.2;196.75;238.25
0;4;14.8;209.75;235.5
0;4;11.9;208.5;236.5
0;4;12.5;219.75;259.75
1;4;13.3;156.0;158.0
1;5;13.1;145.5;145.0
0;5;13.3;189.5;214.0
0;5;17.0;186.5;231.0
0;5;9.3;NaN;NaN
0;5;12.1;191.5;220.25
0;5;11.7;198.981684982;236.149635036
1;5;12.5;159.253061224;159.404958678
1;5;16.4;142.547325103;144.545081967
0;5;13.9;205.25;225.5
0;5;16.3;206.0;227.5
0;5;18.3;222.5;244.0
0;5;16.9;219.0;229.25
0;5;17.8;NaN;NaN
1;5;18.7;NaN;NaN
1;5;15.8;171.5;178.650684932
0;5;14.6;240.599190283;293.518218623
0;5;16.0;207.514423077;244.62
0;5;15.3;203.697777778;247.273542601
0;5;19.2;215.123505976;251.067460317
0;5;20.6;204.115555556;221.004385965
1;5;21.3;164.78440367;166.056074766
1;5;16.3;143.286956522;143.81938326
0;5;20.4;195.561085973;246.187793427
0;5;20.7;198.013043478;263.487068966
0;5;22.9;204.401785714;256.947136564
0;5;19.6;204.205240175;251.907079646
0;5;20.9;205.259574468;257.086956522
1;5;12.6;163.329113924;161.088495575
1;5;16.7;144.406779661;145.35021097
0;5;19.3;199.940425532;262.611814346
0;5;22.0;208.829787234;250.122881356
