Praznik;Mjesec;PrijasnjaPotrosnja;Potrosnja
1;6;160.688644689;156.430147059
0;6;152.411764706;153.981549815
0;6;159.2;158.855072464
0;6;161.15;160.256756757
0;6;165.495495495;168.460526316
0;6;163.281938326;166.64
1;7;178.430493274;179.181818182
0;7;173.239819005;172.365296804
0;7;169.945454545;170.384615385
0;7;159.406392694;163.617117117
0;7;161.268181818;158.423423423
0;7;168.227678571;165.54954955
1;7;161.846153846;161.418181818
1;7;171.058558559;171.231481481
0;7;156.509009009;155.986486486
0;7;169.714912281;165.899122807
0;7;159.040178571;157.98245614
0;7;162.435555556;160.737777778
0;7;173.982300885;174.075892857
1;7;173.061946903;170.21719457
1;7;189.729357798;193.5
0;7;169.133640553;166.295454545
0;7;161.635135135;159.590697674
0;7;154.495535714;156.130044843
0;7;152.384955752;151.659292035
0;7;153.14479638;153.699115044
1;7;150.224669604;144.623853211
1;7;146.225225225;143.853982301
0;7;135.379912664;134.092105263
0;7;130.877729258;130.865217391
0;7;124.972850679;124.797356828
0;7;126.845132743;126.388127854
0;7;120.665178571;121.534246575
1;7;120.547511312;119.567567568
1;7;123.375;121.457399103
0;7;118.888888889;117.373333333
0;7;117.482300885;118.398190045
0;8;116.220264317;111.804545455
0;8;119.511210762;118.171171171
0;8;119.185840708;118.128318584
1;8;118.913636364;119.508849558
1;8;120.694323144;121.668141593
0;8;119.513513514;119.165938865
0;8;122.349557522;121.762114537
0;8;123.211711712;122.296460177
0;8;115.140969163;114.672489083
0;8;120.127853881;118.4
1;8;118.556053812;116.959641256
1;8;118.207207207;117.773333333
0;8;113.31277533;112.723214286
0;8;115.547085202;115.495575221
1;8;114.315315315;115.112612613
0;8;115.909502262;116.125560538
0;8;130.517857143;129.669603524
1;8;128.491071429;126.814159292
1;8;125.095022624;125.560538117
0;8;126.933920705;127.09009009
0;8;129.701357466;130.071428571
0;8;132.484304933;131.4
0;8;143.88;142.946188341
0;8;147.826086957;147.127192982
1;8;148.286343612;147.806167401
1;8;150.004504505;149.230769231
0;8;159.039473684;155.834862385
0;8;157.048888889;151.175675676
0;8;148.585365854;148.488372093
0;8;152.552631579;150.991111111
0;8;149.385650224;148.789237668
1;9;150.630630631;149.302222222
1;9;151.222222222;149.765486726
0;9;154.707964602;155.0
0;9;176.666666667;179.304147465
0;9;155.85840708;155.209821429
0;9;153.61038961;152.826666667
0;9;146.644736842;146.930131004
1;9;151.195555556;151.290178571
1;9;149.11790393;150.281938326
0;9;147.123348018;148.134529148
0;9;151.724444444;149.026666667
0;9;149.746606335;150.108597285
0;9;163.539473684;163.333333333
0;9;162.878378378;162.311111111
1;9;158.088888889;158.0
1;9;157.791366906;156.838235294
0;9;143.933920705;142.502262443
0;9;150.566371681;147.321428571
0;9;151.239631336;149.9
0;9;145.790178571;145.043478261
0;9;160.137614679;159.449541284
1;9;150.919642857;149.602678571
1;9;152.928251121;153.570135747
0;9;152.417112299;151.134529148
0;9;155.628820961;154.168888889
0;9;146.179824561;145.629464286
0;9;163.995594714;163.004464286
0;9;157.725663717;158.410480349
1;9;154.691964286;154.475336323
1;9;174.471615721;174.515695067
0;10;157.97716895;157.565217391
0;10;157.208695652;152.775784753
0;10;148.101769912;146.139130435
0;10;150.665178571;151.5
0;10;143.95045045;143.0
1;10;154.340909091;153.586206897
1;10;153.511013216;153.947826087
1;10;149.414847162;146.259911894
0;10;146.365638767;139.763157895
0;10;138.805309735;137.695652174
0;10;151.052401747;152.816143498
0;10;168.479638009;168.880530973
1;10;169.45320197;163.991189427
1;10;159.290748899;157.871559633
0;10;151.346666667;151.022321429
0;10;156.053571429;148.101321586
0;10;150.910313901;149.128888889
0;10;156.443946188;155.243243243
0;10;155.751111111;155.211267606
1;10;157.982142857;158.258928571
1;10;150.840707965;149.53125
0;10;145.74122807;143.659292035
0;10;148.605263158;145.108108108
0;10;150.849557522;149.647577093
0;10;153.061403509;152.455752212
0;10;149.611607143;149.360869565
1;10;167.442477876;168.199115044
1;10;168.611607143;164.801762115
0;10;161.3930131;162.324561404
0;10;146.99086758;145.586666667
0;10;145.470852018;145.082191781
1;11;148.911894273;147.959276018
0;11;146.923766816;146.911504425
1;11;158.171171171;155.857142857
1;11;161.257777778;161.24
