Praznik;Mjesec;PrijasnjaPotrosnja;Potrosnja
1;6;209.429104478;201.0
0;6;208.36802974;190.128676471
0;6;507.877272727;495.435555556
0;6;478.662162162;485.118181818
0;6;540.666666667;529.706666667
0;6;546.271493213;544.121076233
1;7;487.553571429;473.672566372
0;7;206.515695067;217.40990991
0;7;198.258928571;217.120535714
0;7;503.450892857;492.036363636
0;7;505.855855856;506.303167421
0;7;478.268181818;485.2760181
1;7;524.313636364;510.949771689
1;7;500.418604651;484.656387665
0;7;315.407239819;307.940366972
0;7;274.488888889;274.471365639
0;7;528.872727273;509.202970297
0;7;569.228699552;560.297777778
0;7;505.534246575;633.153508772
1;7;644.987068966;622.520361991
1;7;438.114678899;423.409090909
0;7;249.762331839;247.557077626
0;7;252.645454545;258.408888889
0;7;478.695454545;451.713004484
0;7;435.349775785;419.934210526
0;7;391.577092511;385.131221719
1;7;367.357466063;359.584070796
1;7;354.470319635;346.610091743
0;7;142.191304348;139.764444444
0;7;130.526785714;128.557017544
0;7;170.026666667;159.660792952
0;7;156.424107143;144.486486486
0;7;142.263157895;140.601809955
1;7;150.213333333;150.533333333
1;7;139.897321429;136.950892857
0;7;118.890909091;121.237668161
0;7;117.383259912;115.915555556
0;8;133.701357466;132.859030837
0;8;126.588235294;127.195555556
0;8;140.439461883;133.738938053
1;8;128.743243243;128.145454545
1;8;119.215246637;119.30941704
0;8;121.793721973;122.021164021
0;8;125.186666667;124.004444444
0;8;127.290748899;125.911894273
0;8;127.64;127.639269406
0;8;125.186666667;123.556053812
1;8;124.511312217;125.901785714
1;8;124.973214286;129.228699552
0;8;120.511013216;121.535087719
0;8;120.533039648;121.614349776
1;8;124.508928571;125.363207547
0;8;162.266666667;158.960176991
0;8;169.124444444;165.266666667
1;8;180.74122807;176.146666667
1;8;172.584070796;170.696035242
0;8;141.414096916;145.21875
0;8;233.435555556;216.869955157
0;8;400.138392857;399.850877193
0;8;372.035555556;377.822222222
0;8;391.660792952;411.262222222
1;8;422.956331878;420.165919283
1;8;404.043668122;389.756756757
0;8;254.089285714;256.149122807
0;8;208.074561404;207.390909091
0;8;410.565022422;402.266666667
0;8;399.387387387;385.433035714
0;8;404.227678571;392.941964286
1;9;462.291479821;459.573991031
1;9;470.418502203;465.346666667
0;9;232.772321429;237.302752294
0;9;228.629464286;231.434210526
0;9;585.566964286;593.611607143
0;9;440.311111111;433.753303965
0;9;416.226666667;401.797297297
1;9;416.408888889;406.742081448
1;9;433.871681416;410.617391304
0;9;221.441860465;225.185840708
0;9;232.459459459;233.945945946
0;9;544.392070485;533.128318584
0;9;514.247826087;525.432432432
0;9;497.801801802;496.596491228
1;9;430.34375;430.384279476
1;9;425.746666667;416.909502262
0;9;224.9375;224.465408805
0;9;224.807106599;225.797235023
0;9;435.366515837;420.359649123
0;9;395.683486239;390.203539823
0;9;380.245614035;373.080357143
1;9;383.848214286;359.209821429
1;9;417.04954955;388.791304348
0;9;202.434977578;185.580188679
0;9;208.938053097;189.801801802
0;9;473.027027027;472.112107623
0;9;461.929515419;450.64
0;9;457.417431193;461.294642857
1;9;457.529147982;453.225663717
1;9;480.371681416;480.911214953
0;10;256.542600897;270.158590308
0;10;203.859030837;208.330357143
0;10;487.924444444;498.425339367
0;10;468.914529915;458.31981982
0;10;486.674107143;478.45045045
1;10;468.851528384;469.422907489
1;10;505.752212389;460.995575221
1;10;151.713656388;151.458515284
0;10;144.382222222;141.972850679
0;10;443.113537118;442.969026549
0;10;420.84;416.350877193
0;10;443.713043478;448.63592233
1;10;445.724444444;443.197368421
1;10;438.739130435;409.339207048
0;10;186.039823009;180.223684211
0;10;149.049327354;149.084821429
0;10;418.43231441;425.850877193
0;10;423.04845815;417.864253394
0;10;437.456896552;438.855855856
1;10;463.774336283;457.099099099
1;10;440.224215247;421.415929204
0;10;164.272321429;166.98245614
0;10;157.282608696;157.300884956
0;10;480.04;487.377777778
0;10;456.16017316;456.552631579
0;10;470.168141593;460.928571429
1;10;473.801801802;484.568281938
1;10;481.413043478;450.239819005
0;10;195.482300885;189.894273128
0;10;159.203539823;159.482300885
0;10;214.814159292;212.446902655
1;11;169.863436123;168.827433628
0;11;505.075555556;507.48
1;11;507.3632287;480.655021834
1;11;467.528634361;464.066964286
0;11;273.012765957;256.35426009
0;11;180.96;173.352678571
0;11;434.388646288;421.282608696
0;11;422.444954128;424.254385965
0;11;461.706666667;473.086580087
1;11;473.808695652;476.81865285
1;11;469.497777778;450.185022026
0;11;187.617117117;188.777070064
0;11;170.114678899;172.48
0;11;424.631578947;412.28125
0;11;447.734234234;402.054298643
0;11;378.941964286;384.634703196
1;11;452.518181818;415.6875
1;11;459.5;459.0
0;11;354.25;329.75
0;11;186.0;180.5
0;11;156.25;159.25
0;11;469.25;447.75
0;11;439.25;449.0
1;11;403.25;409.75
1;11;418.0;400.0
0;11;473.25;464.0
0;11;163.25;158.75
0;11;160.25;160.5
0;11;438.25;423.25
0;11;429.333333333;422.25
1;12;433.5;419.5
1;12;419.75;449.0
0;12;494.75;486.75
0;12;176.0;169.75
0;12;159.0;158.25
0;12;449.75;462.5
0;12;508.0;493.0
1;12;489.75;491.0
1;12;515.75;501.75
0;12;473.25;477.75
0;12;287.25;283.5
0;12;163.75;163.5
0;12;497.25;495.0
0;12;457.0;461.75
1;12;443.75;465.75
1;12;NaN;NaN
0;12;470.75;483.5
0;12;265.0;261.75
0;12;181.75;181.0
0;12;511.5;508.25
0;12;497.25;509.25
1;12;476.0;472.5
1;12;299.5;315.75
0;12;173.75;157.5
1;12;142.5;143.0
1;12;147.75;146.75
0;12;220.75;216.25
0;12;210.75;209.5
1;12;219.75;217.5
1;12;208.25;202.25
0;12;175.25;168.25
