Praznik;Mjesec;PrijasnjaPotrosnja;Potrosnja
1;12;143.75;144.5
0;12;221.75;219.25
0;12;229.5;218.75
1;12;207.75;211.5
1;12;206.75;204.5
0;12;167.25;178.0
1;1;146.5;150.25
0;1;167.25;173.0
0;1;419.25;412.25
0;1;446.25;451.5
0;1;423.333333333;436.5
1;1;178.25;182.75
1;1;236.0;235.75
1;1;178.75;180.25
0;1;171.0;172.0
0;1;467.5;459.5
0;1;482.5;493.25
0;1;458.25;476.25
0;1;433.0;438.666666667
1;1;429.5;444.5
1;1;200.5;209.75
0;1;154.75;158.0
0;1;462.25;463.25
0;1;445.25;445.75
0;1;443.0;452.75
0;1;436.0;448.25
1;1;474.25;500.75
1;1;199.5;204.5
0;1;170.75;172.0
0;1;448.75;450.0
0;1;449.0;451.5
0;1;444.5;455.75
0;1;424.75;440.5
1;1;469.75;483.75
1;1;185.75;188.75
0;1;168.25;170.75
0;1;423.25;426.5
0;2;397.5;415.25
0;2;404.75;419.75
0;2;391.0;401.75
1;2;351.75;384.5
1;2;184.5;184.75
0;2;172.75;174.75
0;2;366.75;366.5
0;2;363.75;361.0
0;2;378.75;398.25
0;2;390.25;392.0
1;2;358.0;380.0
1;2;180.5;189.25
0;2;176.25;180.25
0;2;458.0;478.75
0;2;485.75;500.75
0;2;453.5;480.25
0;2;468.0;483.25
1;2;461.5;491.0
1;2;164.75;165.25
0;2;158.25;179.5
0;2;465.5;462.75
0;2;431.25;447.5
0;2;402.75;404.25
0;2;404.5;402.5
1;2;411.75;445.5
1;2;207.5;205.0
0;2;175.75;183.75
0;2;484.5;497.5
0;3;497.75;497.0
0;3;477.0;482.5
0;3;476.75;497.0
1;3;462.0;474.0
1;3;196.339552239;199.452554745
0;3;173.919708029;174.996336996
0;3;436.091240876;438.692307692
0;3;415.945848375;434.482889734
0;3;430.31640625;447.081712062
0;3;424.296875;442.848249027
1;3;437.221789883;454.233463035
1;3;187.536964981;190.359375
0;3;184.14453125;187.684824903
0;3;431.72265625;472.265625
0;3;423.75;431.0
0;3;479.25;503.25
0;3;457.25;465.75
1;3;464.0;487.25
1;3;172.25;175.5
0;3;187.25;189.5
0;3;439.5;433.25
0;3;424.75;407.0
0;3;407.0;427.5
0;3;389.5;411.25
1;3;418.5;433.25
1;3;253.0;247.25
0;3;193.25;196.5
0;3;NaN;NaN
0;3;389.5;387.5
0;3;415.25;407.25
0;3;434.5;489.5
1;4;NaN;NaN
1;4;NaN;NaN
0;4;NaN;NaN
0;4;NaN;NaN
0;4;NaN;NaN
0;4;NaN;NaN
0;4;NaN;NaN
1;4;NaN;NaN
1;4;NaN;NaN
0;4;NaN;NaN
0;4;NaN;NaN
0;4;NaN;NaN
0;4;NaN;NaN
0;4;NaN;NaN
1;4;NaN;NaN
1;4;NaN;NaN
0;4;156.25;156.25
0;4;401.75;411.25
0;4;391.25;408.5
0;4;407.0;396.5
0;4;382.0;424.0
1;4;336.0;343.5
1;4;152.25;153.75
1;4;142.25;142.75
1;4;153.0;155.0
0;4;423.75;434.5
0;4;402.25;413.75
0;4;461.5;467.0
1;4;406.0;441.25
1;4;174.75;173.25
1;5;145.0;150.0
0;5;367.5;391.25
0;5;401.75;370.0
0;5;394.5;396.0
0;5;352.164179104;362.840163934
1;5;368.861313869;371.619047619
1;5;167.43220339;175.393442623
0;5;173.851239669;176.958677686
0;5;378.75;396.0
0;5;352.25;368.0
0;5;394.75;388.5
0;5;360.25;387.5
1;5;NaN;NaN
1;5;233.0;228.0
0;5;207.919354839;198.52016129
0;5;404.864864865;430.662222222
0;5;393.697777778;401.732758621
0;5;431.96969697;435.341991342
0;5;400.367713004;419.92244898
1;5;393.612244898;423.834254144
1;5;210.132420091;217.261904762
0;5;155.089686099;157.222222222
0;5;417.03930131;471.391111111
0;5;468.194690265;498.164502165
0;5;426.75;453.5
0;5;427.168141593;465.395555556
1;5;501.298701299;538.008547009
1;5;216.449579832;226.43231441
0;5;177.87037037;192.017021277
0;5;462.911894273;481.034632035
0;5;409.730769231;518.730941704
0;6;490.918803419;525.934210526
0;6;462.986363636;487.641921397
1;6;485.257918552;509.939393939
1;6;210.087557604;207.706422018
0;6;190.35426009;193.814977974
0;6;486.981900452;537.955555556
0;6;517.72173913;561.828703704
0;6;548.695067265;565.601731602
0;6;482.774891775;509.914414414
1;6;509.361607143;537.949074074
1;6;353.13215859;359.533039648
0;6;182.318777293;224.885462555
0;6;480.269230769;494.231441048
0;6;467.704845815;456.592105263
0;6;435.058823529;464.5
0;6;492.25;504.25
1;6;481.555555556;511.125541126
1;6;195.76754386;245.721238938
0;6;183.461206897;192.017621145
0;6;428.320175439;413.926086957
0;6;419.897777778;427.244444444
1;6;222.75;231.5
1;6;226.133828996;230.483516484
1;6;259.527881041;257.655677656
1;6;207.25;195.540740741
0;6;190.47985348;198.694852941
0;6;455.475113122;484.107476636
0;6;455.71627907;463.69124424
0;6;467.171171171;500.452914798
0;6;519.568281938;534.28125
