Praznik;Mjesec;PrijasnjaPotrosnja;Potrosnja
1;12;150.25;151.25
0;12;198.5;189.75
0;12;208.75;201.75
1;12;193.75;188.25
1;12;201.25;196.0
0;12;180.0;182.75
1;1;164.25;165.0
0;1;184.5;184.5
0;1;348.5;321.25
0;1;355.75;323.5
0;1;362.25;330.25
1;1;197.75;197.0
1;1;230.75;216.0
1;1;202.25;198.5
0;1;192.75;194.25
0;1;346.5;300.75
0;1;369.0;322.25
0;1;341.0;323.25
0;1;358.5;344.5
1;1;355.5;294.5
1;1;189.0;187.25
0;1;175.75;180.75
0;1;357.5;320.75
0;1;334.25;311.25
0;1;368.0;341.25
0;1;390.0;325.75
1;1;340.5;288.0
1;1;206.0;205.25
0;1;200.75;206.25
0;1;335.5;320.75
0;1;338.5;322.5
0;1;350.0;323.0
0;1;315.75;307.25
1;1;343.75;293.25
1;1;197.0;192.5
0;1;188.75;186.0
0;1;313.25;295.5
0;2;306.5;277.5
0;2;308.5;282.5
0;2;301.0;273.0
1;2;277.5;254.5
1;2;181.25;186.75
0;2;185.25;191.0
0;2;293.75;265.25
0;2;276.5;265.0
0;2;280.5;269.5
0;2;280.5;265.5
1;2;278.75;256.75
1;2;204.0;202.0
0;2;191.0;196.0
0;2;372.25;325.0
0;2;373.0;339.5
0;2;375.25;333.0
0;2;372.0;364.5
1;2;337.75;303.5
1;2;161.75;168.25
0;2;194.25;202.75
0;2;359.75;334.5
0;2;374.75;330.25
0;2;336.0;323.0
0;2;338.25;342.75
1;2;310.5;285.5
1;2;189.25;199.25
0;2;206.25;218.75
0;2;357.5;324.75
0;3;379.25;329.0
0;3;373.25;318.5
0;3;363.25;324.0
1;3;325.0;298.5
1;3;196.834558824;201.428571429
0;3;180.767241379;186.175182482
0;3;341.208029197;333.666666667
0;3;331.832684825;315.847058824
0;3;338.345098039;336.25
0;3;337.01953125;336.76171875
1;3;321.241245136;307.01953125
1;3;200.97254902;211.643137255
0;3;210.207843137;215.575875486
0;3;339.471698113;329.25
0;3;374.0;348.75
0;3;372.25;341.5
0;3;339.25;334.75
1;3;364.0;320.0
1;3;196.5;201.0
0;3;189.0;198.5
0;3;307.5;287.5
0;3;322.0;331.25
0;3;294.75;274.25
0;3;333.75;315.25
1;3;312.75;307.25
1;3;199.5;205.5
0;3;194.25;193.75
0;3;NaN;NaN
0;3;297.25;252.25
0;3;282.0;260.25
0;3;279.75;264.75
1;4;NaN;NaN
1;4;NaN;NaN
0;4;NaN;NaN
0;4;NaN;NaN
0;4;NaN;NaN
0;4;NaN;NaN
0;4;NaN;NaN
1;4;NaN;NaN
1;4;NaN;NaN
0;4;NaN;NaN
0;4;NaN;NaN
0;4;NaN;NaN
0;4;NaN;NaN
0;4;NaN;NaN
1;4;NaN;NaN
1;4;163.75;167.25
0;4;151.5;156.0
0;4;252.25;238.0
0;4;301.5;268.0
0;4;291.0;245.25
0;4;280.25;261.75
1;4;184.0;173.5
1;4;151.25;152.5
1;4;152.75;151.0
1;4;159.5;160.75
0;4;312.25;291.0
0;4;320.0;287.5
0;4;324.5;290.75
1;4;287.5;243.25
1;4;175.5;185.25
1;5;157.25;161.5
0;5;249.5;215.25
0;5;274.75;264.25
0;5;264.5;225.75
0;5;284.802197802;231.626373626
1;5;264.07755102;236.357142857
1;5;162.049180328;161.407407407
0;5;167.209756098;167.234042553
0;5;254.0;220.75
0;5;277.5;218.5
0;5;255.0;229.0
0;5;250.75;233.0
1;5;NaN;NaN
1;5;227.75;219.75
0;5;205.523148148;213.796460177
0;5;296.175609756;266.180094787
0;5;310.888412017;288.942731278
0;5;289.966942149;264.042372881
0;5;289.619834711;278.479820628
1;5;268.533039648;216.103004292
1;5;187.259803922;179.942307692
0;5;168.623318386;173.389423077
0;5;331.171171171;280.230088496
0;5;331.547826087;291.057268722
0;5;320.0;270.75
0;5;320.612068966;259.308370044
1;5;389.225531915;293.276595745
1;5;167.145833333;168.755458515
0;5;165.948717949;162.886075949
0;5;315.49137931;267.725321888
0;5;380.787234043;301.939914163
0;6;386.183406114;307.076190476
0;6;366.27753304;290.663636364
1;6;360.23580786;278.13304721
1;6;171.969298246;170.217391304
0;6;180.678571429;178.887892377
0;6;393.395555556;294.876106195
0;6;418.220264317;309.654867257
0;6;423.048672566;287.828947368
0;6;369.801801802;278.058295964
1;6;311.672897196;243.202702703
1;6;201.461538462;177.00877193
0;6;154.875;160.260683761
0;6;326.538461538;238.273127753
0;6;333.09375;260.3930131
0;6;342.5;277.25
0;6;374.75;292.25
1;6;359.580786026;267.731277533
1;6;175.964444444;174.238095238
0;6;163.852173913;169.114035088
0;6;281.524017467;211.688311688
0;6;302.25;226.75
1;6;238.739776952;181.263736264
1;6;227.073260073;178.255555556
1;6;192.57195572;166.919117647
1;6;145.180147059;145.468401487
0;6;149.488549618;148.413284133
0;6;363.0562249;286.458677686
0;6;344.242290749;261.268181818
0;6;411.475113122;306.048245614
0;6;369.67264574;267.882022472
