Praznik;Mjesec;Temperatura;PotrosnjaPrije1h;Potrosnja
1;1;-4.0;165.0;167.0
1;1;-0.7;184.5;184.25
0;1;-2.0;321.25;271.0
0;1;-2.8;323.5;263.0
0;1;-2.2;330.25;267.5
1;1;2.3;197.0;195.25
0;1;11.0;216.0;206.25
1;1;12.0;198.5;198.25
1;1;12.4;194.25;192.75
0;1;6.4;300.75;254.0
0;1;4.1;322.25;281.0
0;1;1.0;323.25;284.75
0;1;7.0;344.5;291.25
0;1;4.7;294.5;264.5
1;1;4.0;187.25;182.5
1;1;2.9;180.75;179.75
0;1;3.4;320.75;256.5
0;1;0.4;311.25;257.0
0;1;3.2;341.25;283.75
0;1;3.5;325.75;264.25
0;1;1.3;288.0;242.25
1;1;-0.6;205.25;196.75
1;1;0.6;206.25;201.75
0;1;-2.3;320.75;290.0
0;1;-0.4;322.5;296.0
0;1;1.5;323.0;279.25
0;1;0.9;307.25;268.0
0;1;-0.3;293.25;242.5
1;1;-0.4;192.5;190.0
1;1;-0.8;186.0;182.5
0;1;-1.4;295.5;257.5
0;2;-3.9;277.5;249.25
0;2;-5.0;282.5;246.25
0;2;-2.7;273.0;242.5
0;2;-0.2;254.5;222.75
1;2;1.4;186.75;185.25
1;2;2.5;191.0;188.25
0;2;3.6;265.25;238.0
0;2;6.4;265.0;233.0
0;2;3.3;269.5;243.75
0;2;3.0;265.5;244.5
0;2;9.0;256.75;228.0
1;2;3.7;202.0;199.0
1;2;1.9;196.0;188.75
0;2;1.0;325.0;276.5
0;2;0.4;339.5;281.5
0;2;4.5;333.0;282.5
0;2;3.8;364.5;317.25
0;2;3.6;303.5;271.25
1;2;5.4;168.25;171.5
1;2;3.3;202.75;209.5
0;2;-1.4;334.5;303.5
0;2;-1.1;330.25;275.5
0;2;-2.4;323.0;257.75
0;2;-2.9;342.75;295.0
0;2;-0.5;285.5;248.0
1;2;-2.6;199.25;194.25
1;2;-1.1;218.75;213.25
0;2;0.0;324.75;283.5
0;3;0.9;329.0;282.75
0;3;-1.4;318.5;270.25
0;3;0.4;324.0;277.0
0;3;-1.1;298.5;247.0
1;3;1.8;201.428571429;203.642335766
1;3;4.6;186.175182482;182.795620438
0;3;-1.0;333.666666667;300.379562044
0;3;-1.4;315.847058824;266.708
0;3;1.3;336.25;276.04296875
0;3;5.4;336.76171875;302.57421875
0;3;11.8;307.01953125;275.25
1;3;13.7;211.643137255;208.1640625
1;3;12.8;215.575875486;209.822834646
0;3;15.0;329.25;287.25
0;3;15.8;348.75;301.0
0;3;11.1;341.5;291.75
0;3;13.5;334.75;301.75
0;3;8.1;320.0;276.25
1;3;5.9;201.0;208.5
1;3;7.0;198.5;206.0
0;3;3.8;287.5;261.5
0;3;5.9;331.25;276.5
0;3;12.5;274.25;254.5
0;3;11.4;315.25;280.0
0;3;16.2;307.25;273.75
1;3;14.9;205.5;207.0
1;3;13.2;193.75;205.25
0;3;9.8;NaN;NaN
0;3;8.8;252.25;245.0
0;3;9.3;260.25;249.25
0;3;11.7;264.75;243.0
0;4;14.3;NaN;NaN
1;4;14.0;NaN;NaN
1;4;14.6;NaN;NaN
0;4;12.9;NaN;NaN
0;4;9.7;NaN;NaN
0;4;12.1;NaN;NaN
0;4;21.6;NaN;NaN
0;4;14.5;NaN;NaN
1;4;14.2;NaN;NaN
1;4;11.9;NaN;NaN
0;4;13.0;NaN;NaN
0;4;8.9;NaN;NaN
0;4;6.7;NaN;NaN
0;4;9.9;NaN;NaN
0;4;9.6;NaN;NaN
1;4;10.4;167.25;174.25
1;4;8.8;156.0;158.75
0;4;9.6;238.0;215.75
0;4;10.7;268.0;214.75
0;4;13.6;245.25;227.5
0;4;14.8;261.75;235.75
0;4;15.0;173.5;164.5
1;4;19.9;152.5;150.75
1;4;18.0;151.0;151.25
1;4;15.9;160.75;161.75
0;4;14.2;291.0;248.5
0;4;15.5;287.5;254.75
0;4;13.6;290.75;260.5
0;4;12.7;243.25;203.5
1;4;15.9;185.25;175.25
1;5;12.9;161.5;166.25
0;5;13.8;215.25;201.25
0;5;11.0;264.25;222.75
0;5;9.7;225.75;190.5
0;5;10.4;231.626373626;198.156934307
0;5;12.4;236.357142857;209.738589212
1;5;15.6;161.407407407;163.433884298
1;5;9.5;167.234042553;161.327659574
0;5;14.7;220.75;198.5
0;5;16.3;218.5;200.75
0;5;17.4;229.0;209.25
0;5;19.0;233.0;206.5
0;5;19.4;NaN;NaN
1;5;22.5;219.75;205.0
1;5;10.6;213.796460177;207.502242152
0;5;13.8;266.180094787;229.693023256
0;5;16.5;288.942731278;245.654867257
0;5;18.3;264.042372881;237.445945946
0;5;19.4;278.479820628;243.601851852
0;5;21.1;216.103004292;186.670995671
1;5;18.0;179.942307692;179.823529412
1;5;17.7;173.389423077;171.0
0;5;19.9;280.230088496;262.793577982
0;5;21.2;291.057268722;233.034632035
0;5;20.8;270.75;239.5
0;5;20.5;259.308370044;216.688596491
0;5;25.3;293.276595745;208.215859031
1;5;14.7;168.755458515;168.439130435
1;5;16.8;162.886075949;161.483050847
0;5;20.3;267.725321888;228.415584416
0;5;22.2;301.939914163;231.356223176
