Sat;Praznik;Mjesec;Temperatura;PotrosnjaPrije1h;PotrosnjaPrije2h;Potrosnja
0;1;1;-4.2;NaN;NaN;171.25
1;1;1;-4.5;171.25;NaN;171.0
2;1;1;-4.8;171.0;171.25;171.5
3;1;1;-4.6;171.5;171.0;171.5
4;1;1;-4.8;171.5;171.5;163.5
5;1;1;-5.0;163.5;171.5;156.5
6;1;1;-5.1;156.5;163.5;157.25
7;1;1;-5.1;157.25;156.5;153.0
8;1;1;-5.0;153.0;157.25;147.75
9;1;1;-5.0;147.75;153.0;145.75
10;1;1;-5.0;145.75;147.75;146.5
11;1;1;-4.9;146.5;145.75;150.25
12;1;1;-4.8;150.25;146.5;150.25
13;1;1;-4.6;150.25;150.25;158.5
14;1;1;-4.3;158.5;150.25;158.0
15;1;1;-4.2;158.0;158.5;158.25
16;1;1;-4.2;158.25;158.0;162.5
17;1;1;-4.2;162.5;158.25;164.25
18;1;1;-4.1;164.25;162.5;165.0
19;1;1;-4.0;165.0;164.25;167.0
20;1;1;-4.2;167.0;165.0;169.0
21;1;1;-4.0;169.0;167.0;165.75
22;1;1;-3.9;165.75;169.0;163.0
23;1;1;-3.5;163.0;165.75;161.75
0;1;1;-3.2;161.75;163.0;162.0
1;1;1;-3.0;162.0;161.75;162.75
2;1;1;-3.1;162.75;162.0;161.25
3;1;1;-3.2;161.25;162.75;159.75
4;1;1;-2.9;159.75;161.25;158.0
5;1;1;-2.9;158.0;159.75;160.25
6;1;1;-2.9;160.25;158.0;163.0
7;1;1;-2.8;163.0;160.25;161.25
8;1;1;-2.0;161.25;163.0;161.75
9;1;1;-1.9;161.75;161.25;160.0
10;1;1;-1.5;160.0;161.75;167.25
11;1;1;-1.1;167.25;160.0;173.0
12;1;1;-0.9;173.0;167.25;171.0
13;1;1;-0.7;171.0;173.0;172.25
14;1;1;-0.5;172.25;171.0;170.75
15;1;1;-0.7;170.75;172.25;172.25
16;1;1;-0.7;172.25;170.75;179.25
17;1;1;-0.5;179.25;172.25;184.5
18;1;1;-0.4;184.5;179.25;184.5
19;1;1;-0.7;184.5;184.5;184.25
20;1;1;-1.4;184.25;184.5;178.0
21;1;1;-2.3;178.0;184.25;174.0
22;1;1;-2.4;174.0;178.0;176.5
23;1;1;-3.2;176.5;174.0;171.5
0;0;1;-4.0;171.5;176.5;169.5
1;0;1;-4.2;169.5;171.5;167.5
2;0;1;-5.2;167.5;169.5;166.25
3;0;1;-7.2;166.25;167.5;165.5
4;0;1;-7.5;165.5;166.25;165.5
5;0;1;-6.2;165.5;165.5;172.75
6;0;1;-5.4;172.75;165.5;224.5
7;0;1;-4.2;224.5;172.75;284.0
8;0;1;-3.9;284.0;224.5;344.0
9;0;1;-3.9;344.0;284.0;393.5
10;0;1;-3.3;393.5;344.0;419.25
11;0;1;-2.9;419.25;393.5;412.25
12;0;1;-2.4;412.25;419.25;415.25
13;0;1;-2.5;415.25;412.25;403.75
14;0;1;-2.4;403.75;415.25;405.75
15;0;1;-2.5;405.75;403.75;406.5
16;0;1;-2.0;406.5;405.75;380.0
17;0;1;-1.9;380.0;406.5;348.5
18;0;1;-1.9;348.5;380.0;321.25
19;0;1;-2.0;321.25;348.5;271.0
20;0;1;-2.9;271.0;321.25;219.0
21;0;1;-5.8;219.0;271.0;205.0
22;0;1;-6.5;205.0;219.0;187.5
23;0;1;-4.9;187.5;205.0;181.0
0;0;1;-4.6;181.0;187.5;178.75
1;0;1;-4.2;178.75;181.0;178.0
2;0;1;-3.9;178.0;178.75;179.0
3;0;1;-3.6;179.0;178.0;178.75
4;0;1;-3.6;178.75;179.0;179.25
5;0;1;-3.8;179.25;178.75;183.5
6;0;1;-3.8;183.5;179.25;228.25
7;0;1;-2.9;228.25;183.5;276.5
