Praznik;Mjesec;Temperatura;PotrosnjaPrije1h;PotrosnjaPrije2h;Potrosnja
1;1;-5.0;153.0;157.25;147.75
1;1;-2.0;161.25;163.0;161.75
0;1;-3.9;284.0;224.5;344.0
0;1;-2.8;276.5;228.25;363.0
0;1;-2.9;273.25;222.5;369.5
1;1;-2.4;165.75;167.0;177.25
0;1;9.3;195.75;192.25;214.75
1;1;11.6;170.75;171.75;169.75
1;1;9.3;164.25;166.75;163.0
0;1;5.7;266.5;214.75;366.5
0;1;3.5;278.5;229.0;355.25
0;1;4.7;NaN;NaN;NaN
0;1;4.0;312.5;241.0;374.75
0;1;4.8;254.5;218.0;350.75
1;1;4.0;178.0;179.5;193.25
1;1;2.3;154.5;158.25;150.25
0;1;-0.3;291.5;228.25;367.75
0;1;0.1;286.5;244.5;351.0
0;1;-2.0;275.0;237.0;354.0
0;1;3.5;280.0;249.5;367.25
0;1;1.3;285.5;243.0;385.0
1;1;-0.2;178.25;181.25;187.0
1;1;-2.7;171.25;177.0;170.75
0;1;-2.4;290.25;238.25;368.0
0;1;-2.2;275.75;228.0;354.25
0;1;-0.3;265.25;227.0;343.0
0;1;2.5;278.75;234.0;354.5
0;1;-0.9;283.5;236.75;361.75
1;1;-2.2;188.75;185.25;182.5
1;1;-1.3;171.0;172.5;168.25
0;1;-1.4;277.5;230.75;349.25
0;2;-2.1;289.5;259.75;336.0
0;2;-3.2;286.25;243.25;334.5
0;2;-1.6;281.5;250.25;328.75
0;2;-3.3;270.75;237.75;320.5
1;2;-0.7;189.75;178.0;182.25
1;2;1.1;170.75;177.5;171.5
0;2;1.2;268.25;215.25;303.25
0;2;1.5;292.25;234.0;317.75
0;2;5.7;274.5;230.75;319.5
0;2;2.3;273.0;228.5;310.0
0;2;-0.2;261.25;223.0;324.75
1;2;11.0;170.75;179.25;173.25
1;2;3.0;176.25;185.0;175.25
0;2;1.7;286.5;247.25;381.5
0;2;0.6;285.25;260.5;372.75
0;2;1.7;303.0;254.5;375.25
0;2;2.2;306.5;255.0;375.5
0;2;3.1;293.0;247.25;354.5
1;2;2.7;164.25;184.5;155.0
1;2;2.5;142.75;146.0;142.5
0;2;-1.3;280.0;239.0;372.25
0;2;-2.3;286.75;247.5;362.0
0;2;-5.0;278.5;236.25;352.75
0;2;-4.4;268.5;222.75;347.5
0;2;-2.4;264.75;243.25;353.75
1;2;-1.3;173.25;180.75;180.75
1;2;-1.8;170.5;175.75;170.75
0;2;-1.3;282.5;243.0;384.5
0;3;0.2;298.5;247.25;372.0
0;3;0.1;307.75;240.75;385.0
0;3;-1.3;281.0;237.5;373.75
0;3;0.8;266.5;240.0;352.5
1;3;0.3;180.390510949;182.467153285;183.864468864
1;3;0.4;170.087912088;171.959854015;171.306569343
0;3;2.2;252.45620438;226.282051282;350.131086142
0;3;0.8;283.614814815;246.064981949;360.629482072
0;3;0.9;277.30078125;243.1875;361.856031128
0;3;2.8;285.902723735;241.921875;353.6796875
0;3;8.8;275.3125;234.234375;340.15234375
1;3;8.0;183.99609375;189.330708661;185.431906615
1;3;11.3;180.7421875;181.723735409;182.19921875
0;3;14.7;294.76953125;248.57480315;392.840466926
0;3;14.0;284.0;237.25;326.5
0;3;10.8;283.75;242.0;354.25
0;3;11.4;295.25;241.0;350.5
0;3;10.9;292.75;245.25;358.25
1;3;5.9;187.75;194.25;180.25
1;3;5.4;177.5;180.5;177.75
0;3;4.8;282.75;231.25;352.5
0;3;6.6;265.0;236.0;345.0
0;3;9.1;261.0;233.25;332.75
0;3;12.1;261.75;227.5;312.0
0;3;11.8;257.75;224.75;309.0
