Praznik;Mjesec;Temperatura;PotrosnjaPrije1h;PotrosnjaPrije2h;PotrosnjaPrije3h;Potrosnja
1;1;-5.0;147.75;153.0;157.25;145.75
1;1;-1.9;161.75;161.25;163.0;160.0
0;1;-3.9;344.0;284.0;224.5;393.5
0;1;-2.9;363.0;276.5;228.25;436.0
0;1;-2.8;369.5;273.25;222.5;407.5
1;1;-1.5;177.25;165.75;167.0;176.25
0;1;9.7;214.75;195.75;192.25;225.75
1;1;12.1;169.75;170.75;171.75;171.75
1;1;12.3;163.0;164.25;166.75;166.75
0;1;6.5;366.5;266.5;214.75;448.0
0;1;3.7;355.25;278.5;229.0;446.5
0;1;4.7;NaN;NaN;NaN;441.5
0;1;4.2;374.75;312.5;241.0;427.0
0;1;6.1;350.75;254.5;218.0;422.25
1;1;5.2;193.25;178.0;179.5;191.25
1;1;3.0;150.25;154.5;158.25;152.25
0;1;0.6;367.75;291.5;228.25;426.25
0;1;1.3;351.0;286.5;244.5;422.0
0;1;-0.4;354.0;275.0;237.0;423.0
0;1;4.0;367.25;280.0;249.5;426.25
0;1;1.4;385.0;285.5;243.0;462.25
1;1;-0.2;187.0;178.25;181.25;200.0
1;1;-1.6;170.75;171.25;177.0;169.0
0;1;-1.8;368.0;290.25;238.25;428.0
0;1;-1.8;354.25;275.75;228.0;414.25
0;1;1.7;343.0;265.25;227.0;411.0
0;1;2.6;354.5;278.75;234.0;416.25
0;1;-1.4;361.75;283.5;236.75;457.5
1;1;-1.7;182.5;188.75;185.25;184.25
1;1;-1.1;168.25;171.0;172.5;169.75
0;1;-1.4;349.25;277.5;230.75;398.75
0;2;-1.9;336.0;289.5;259.75;398.25
0;2;-3.2;334.5;286.25;243.25;374.25
0;2;-1.0;328.75;281.5;250.25;388.5
0;2;0.5;320.5;270.75;237.75;343.0
1;2;2.0;182.25;189.75;178.0;185.25
1;2;4.8;171.5;170.75;177.5;172.5
0;2;4.0;303.25;268.25;215.25;377.75
0;2;3.9;317.75;292.25;234.0;344.75
0;2;7.5;319.5;274.5;230.75;376.25
0;2;4.6;310.0;273.0;228.5;382.0
0;2;4.8;324.75;261.25;223.0;346.0
1;2;11.3;173.25;170.75;179.25;174.5
1;2;3.4;175.25;176.25;185.0;176.5
0;2;2.0;381.5;286.5;247.25;429.5
0;2;0.8;372.75;285.25;260.5;443.75
0;2;2.3;375.25;303.0;254.5;444.0
0;2;2.2;375.5;306.5;255.0;427.5
0;2;3.1;354.5;293.0;247.25;436.25
1;2;4.8;155.0;164.25;184.5;158.25
1;2;3.2;142.5;142.75;146.0;141.25
0;2;-1.1;372.25;280.0;239.0;443.25
0;2;-2.0;362.0;286.75;247.5;423.75
0;2;-4.0;352.75;278.5;236.25;391.75
0;2;-3.1;347.5;268.5;222.75;403.25
0;2;-1.1;353.75;264.75;243.25;394.25
