Sat;Praznik;Mjesec;Temperatura;ProsjekU24h;Potrosnja
0;1;1;-4.2;NaN;171.25
1;1;1;-4.5;171.25;171.0
2;1;1;-4.8;171.125;171.5
3;1;1;-4.6;171.25;171.5
4;1;1;-4.8;171.3125;163.5
5;1;1;-5.0;169.75;156.5
6;1;1;-5.1;167.541666667;157.25
7;1;1;-5.1;166.071428571;153.0
8;1;1;-5.0;164.4375;147.75
9;1;1;-5.0;162.583333333;145.75
10;1;1;-5.0;160.9;146.5
11;1;1;-4.9;159.590909091;150.25
12;1;1;-4.8;158.8125;150.25
13;1;1;-4.6;158.153846154;158.5
14;1;1;-4.3;158.178571429;158.0
15;1;1;-4.2;158.166666667;158.25
16;1;1;-4.2;158.171875;162.5
17;1;1;-4.2;158.426470588;164.25
18;1;1;-4.1;158.75;165.0
19;1;1;-4.0;159.078947368;167.0
20;1;1;-4.2;159.475;169.0
21;1;1;-4.0;159.928571429;165.75
22;1;1;-3.9;160.193181818;163.0
23;1;1;-3.5;160.315217391;161.75
0;1;1;-3.2;160.375;162.0
1;1;1;-3.0;159.989583333;162.75
2;1;1;-3.1;159.645833333;161.25
3;1;1;-3.2;159.21875;159.75
4;1;1;-2.9;158.729166667;158.0
5;1;1;-2.9;158.5;160.25
6;1;1;-2.9;158.65625;163.0
7;1;1;-2.8;158.895833333;161.25
8;1;1;-2.0;159.239583333;161.75
9;1;1;-1.9;159.822916667;160.0
10;1;1;-1.5;160.416666667;167.25
11;1;1;-1.1;161.28125;173.0
12;1;1;-0.9;162.229166667;171.0
13;1;1;-0.7;163.09375;172.25
14;1;1;-0.5;163.666666667;170.75
15;1;1;-0.7;164.197916667;172.25
16;1;1;-0.7;164.78125;179.25
17;1;1;-0.5;165.479166667;184.5
18;1;1;-0.4;166.322916667;184.5
19;1;1;-0.7;167.135416667;184.25
20;1;1;-1.4;167.854166667;178.0
21;1;1;-2.3;168.229166667;174.0
22;1;1;-2.4;168.572916667;176.5
23;1;1;-3.2;169.135416667;171.5
0;0;1;-4.0;169.541666667;169.5
1;0;1;-4.2;169.854166667;167.5
2;0;1;-5.2;170.052083333;166.25
3;0;1;-7.2;170.260416667;165.5
4;0;1;-7.5;170.5;165.5
5;0;1;-6.2;170.8125;172.75
6;0;1;-5.4;171.333333333;224.5
7;0;1;-4.2;173.895833333;284.0
8;0;1;-3.9;179.010416667;344.0
9;0;1;-3.9;186.604166667;393.5
10;0;1;-3.3;196.333333333;419.25
11;0;1;-2.9;206.833333333;412.25
12;0;1;-2.4;216.802083333;415.25
13;0;1;-2.5;226.979166667;403.75
14;0;1;-2.4;236.625;405.75
15;0;1;-2.5;246.416666667;406.5
16;0;1;-2.0;256.177083333;380.0
17;0;1;-1.9;264.541666667;348.5
18;0;1;-1.9;271.375;321.25
19;0;1;-2.0;277.072916667;271.0
20;0;1;-2.9;280.6875;219.0
21;0;1;-5.8;282.395833333;205.0
22;0;1;-6.5;283.6875;187.5
23;0;1;-4.9;284.145833333;181.0
0;0;1;-4.6;284.541666667;178.75
1;0;1;-4.2;284.927083333;178.0
2;0;1;-3.9;285.364583333;179.0
3;0;1;-3.6;285.895833333;178.75
4;0;1;-3.6;286.447916667;179.25
5;0;1;-3.8;287.020833333;183.5
6;0;1;-3.8;287.46875;228.25
7;0;1;-2.9;287.625;276.5
8;0;1;-2.8;287.3125;363.0
9;0;1;-2.9;288.104166667;436.0
10;0;1;-2.9;289.875;446.25
11;0;1;-2.9;291.0;451.5
12;0;1;-2.4;292.635416667;440.0
13;0;1;-1.7;293.666666667;423.75
14;0;1;-1.7;294.5;408.25
15;0;1;-2.8;294.604166667;402.0
16;0;1;-3.7;294.416666667;387.0
17;0;1;-4.7;294.708333333;355.75
18;0;1;-3.7;295.010416667;323.5
19;0;1;-2.8;295.104166667;263.0
20;0;1;-2.8;294.770833333;230.25
21;0;1;-2.8;295.239583333;202.75
22;0;1;-2.8;295.145833333;180.75
23;0;1;-3.0;294.864583333;175.0
0;0;1;-3.2;294.614583333;174.0
1;0;1;-3.0;294.416666667;172.25
2;0;1;-3.1;294.177083333;175.0
3;0;1;-3.2;294.010416667;176.0
4;0;1;-3.3;293.895833333;175.75
5;0;1;-3.3;293.75;182.0
6;0;1;-3.3;293.6875;222.5
7;0;1;-3.4;293.447916667;273.25
8;0;1;-2.9;293.3125;369.5
9;0;1;-2.8;293.583333333;407.5
10;0;1;-2.5;292.395833333;423.333333333
11;0;1;-2.2;290.052631579;436.5
12;0;1;-1.9;289.421052632;433.25
13;0;1;-1.8;289.136842105;426.25
14;0;1;-1.7;289.242105263;422.75
15;0;1;-1.8;289.852631579;413.25
16;0;1;-1.8;290.326315789;393.5
17;0;1;-2.0;290.6;362.25
18;0;1;-2.1;290.873684211;330.25
19;0;1;-2.2;291.157894737;267.5
20;0;1;-2.5;291.347368421;230.75
21;0;1;-3.2;291.368421053;201.5
22;0;1;-4.0;291.315789474;180.25
23;0;1;-4.1;291.294736842;175.25
0;1;1;-3.9;291.305263158;168.75
1;1;1;-3.5;291.084210526;168.5
2;1;1;-3.9;290.926315789;168.0
3;1;1;-4.1;290.631578947;167.75
4;1;1;-3.8;290.284210526;168.5
5;1;1;-3.6;289.978947368;169.0
6;1;1;-3.5;289.431578947;167.0
7;1;1;-3.2;287.094736842;165.75
8;1;1;-2.4;282.568421053;177.25
9;1;1;-1.5;274.473684211;176.25
10;1;1;-0.1;264.736842105;178.25
11;1;1;0.4;256.177083333;182.75
12;1;1;1.3;245.604166667;186.25
13;1;1;2.0;235.3125;187.25
14;1;1;2.1;225.354166667;186.75
15;1;1;2.4;215.520833333;194.75
16;1;1;4.0;206.416666667;198.25
17;1;1;3.8;198.28125;197.75
18;1;1;2.7;191.427083333;197.0
19;1;1;2.3;185.875;195.25
20;1;1;2.6;182.864583333;185.25
21;1;1;3.8;180.96875;179.25
22;1;1;3.9;180.041666667;176.25
23;1;1;4.9;179.875;177.75
0;0;1;5.0;179.979166667;176.0
1;0;1;5.0;180.28125;175.25
2;0;1;5.4;180.5625;175.0
3;0;1;5.9;180.854166667;173.5
4;0;1;6.8;181.09375;173.75
5;0;1;7.6;181.3125;173.5
6;0;1;8.2;181.5;192.25
7;0;1;8.1;182.552083333;195.75
8;0;1;9.3;183.802083333;214.75
9;0;1;9.7;185.364583333;225.75
10;0;1;11.3;187.427083333;236.0
11;0;1;12.9;189.833333333;235.75
12;0;1;13.2;192.041666667;233.0
13;0;1;12.9;193.989583333;232.75
14;0;1;13.1;195.885416667;233.25
15;0;1;12.5;197.822916667;227.5
16;0;1;12.0;199.1875;237.5
17;0;1;11.8;200.822916667;230.75
18;0;1;11.6;202.197916667;216.0
19;0;1;11.0;202.989583333;206.25
20;0;1;11.3;203.447916667;194.0
21;0;1;11.6;203.8125;183.75
22;0;1;11.1;204.0;175.5
23;0;1;11.4;203.96875;170.0
0;1;1;11.0;203.645833333;173.75
1;1;1;10.9;203.552083333;172.0
2;1;1;11.1;203.416666667;171.75
3;1;1;11.1;203.28125;170.25
4;1;1;11.4;203.145833333;170.5
5;1;1;11.6;203.010416667;168.0
6;1;1;10.6;202.78125;171.75
7;1;1;11.1;201.927083333;170.75
8;1;1;11.6;200.885416667;169.75
9;1;1;12.1;199.010416667;171.75
10;1;1;12.5;196.760416667;178.75
11;1;1;13.0;194.375;180.25
12;1;1;13.1;192.0625;181.0
13;1;1;13.9;189.895833333;179.75
14;1;1;14.4;187.6875;185.5
15;1;1;13.9;185.697916667;189.0
16;1;1;12.8;184.09375;193.75
17;1;1;12.6;182.270833333;202.25
18;1;1;12.2;181.083333333;198.5
19;1;1;12.0;180.354166667;198.25
20;1;1;11.9;180.020833333;193.25
21;1;1;11.0;179.989583333;183.75
22;1;1;10.6;179.989583333;172.75
23;1;1;9.8;179.875;168.75
0;1;1;9.2;179.822916667;167.75
1;1;1;9.7;179.572916667;165.0
2;1;1;9.0;179.28125;166.5
3;1;1;9.4;179.0625;166.25
4;1;1;8.9;178.895833333;165.75
5;1;1;8.1;178.697916667;166.0
6;1;1;6.1;178.614583333;166.75
7;1;1;5.3;178.40625;164.25
8;1;1;9.3;178.135416667;163.0
9;1;1;12.3;177.854166667;166.75
10;1;1;14.1;177.645833333;171.0
11;1;1;15.4;177.322916667;172.0
12;1;1;15.8;176.979166667;176.75
13;1;1;15.9;176.802083333;177.75
14;1;1;15.2;176.71875;178.0
15;1;1;14.2;176.40625;176.5
16;1;1;13.0;175.885416667;183.0
17;1;1;11.7;175.4375;192.75
18;1;1;11.7;175.041666667;194.25
19;1;1;12.4;174.864583333;192.75
20;1;1;11.6;174.635416667;190.0
21;1;1;11.6;174.5;180.5
22;1;1;8.7;174.364583333;171.0
23;1;1;6.6;174.291666667;167.5
0;0;1;5.5;174.239583333;166.0
1;0;1;5.4;174.166666667;168.0
2;0;1;4.9;174.291666667;165.5
3;0;1;4.8;174.25;165.25
4;0;1;4.9;174.208333333;166.0
5;0;1;5.0;174.21875;171.5
6;0;1;5.1;174.447916667;214.75
7;0;1;4.9;176.447916667;266.5
8;0;1;5.7;180.708333333;366.5
9;0;1;6.5;189.1875;448.0
10;0;1;8.6;200.90625;467.5
11;0;1;10.1;213.260416667;459.5
12;0;1;11.1;225.239583333;492.75
13;0;1;11.5;238.40625;489.5
14;0;1;11.1;251.395833333;466.0
15;0;1;10.1;263.395833333;451.75
16;0;1;9.7;274.864583333;403.75
17;0;1;8.4;284.0625;346.5
18;0;1;7.2;290.46875;300.75
19;0;1;6.4;294.90625;254.0
20;0;1;6.5;297.458333333;220.25
21;0;1;5.9;298.71875;203.5
22;0;1;4.9;299.677083333;187.25
23;0;1;4.7;300.354166667;185.0
0;0;1;3.7;301.083333333;182.5
1;0;1;3.8;301.770833333;174.75
2;0;1;4.2;302.052083333;176.25
3;0;1;4.1;302.5;178.0
4;0;1;3.8;303.03125;176.5
5;0;1;3.7;303.46875;184.5
6;0;1;3.6;304.010416667;229.0
7;0;1;3.7;304.604166667;278.5
8;0;1;3.5;305.104166667;355.25
9;0;1;3.7;304.635416667;446.5
10;0;1;3.8;304.572916667;482.5
11;0;1;4.1;305.197916667;493.25
12;0;1;4.1;306.604166667;486.25
13;0;1;4.3;306.333333333;495.0
14;0;1;4.3;306.5625;491.25
15;0;1;4.2;307.614583333;458.25
16;0;1;4.2;307.885416667;416.25
17;0;1;4.1;308.40625;369.0
18;0;1;4.1;309.34375;322.25
19;0;1;4.1;310.239583333;281.0
20;0;1;4.1;311.364583333;244.0
21;0;1;4.1;312.354166667;219.0
22;0;1;4.1;313.0;199.25
23;0;1;4.1;313.5;191.5
0;0;1;4.1;313.770833333;NaN
1;0;1;4.2;319.47826087;NaN
2;0;1;4.3;326.056818182;NaN
3;0;1;4.2;333.19047619;NaN
4;0;1;4.1;340.95;NaN
5;0;1;4.1;349.605263158;NaN
6;0;1;4.1;358.777777778;NaN
7;0;1;4.2;366.411764706;NaN
8;0;1;4.7;371.90625;NaN
9;0;1;4.7;373.016666667;441.5
10;0;1;4.9;370.310344828;458.25
11;0;1;5.1;368.637931034;476.25
12;0;1;6.6;367.465517241;472.5
13;0;1;6.8;366.517241379;NaN
14;0;1;7.0;357.0;NaN
15;0;1;6.3;346.26;413.0
16;0;1;5.3;338.14893617;375.25
17;0;1;3.0;334.659574468;341.0
18;0;1;1.8;332.276595745;323.25
19;0;1;1.0;332.361702128;284.75
20;0;1;0.5;332.680851064;225.5
21;0;1;1.1;331.106382979;204.25
22;0;1;4.0;329.85106383;186.25
23;0;1;3.7;328.744680851;181.25
0;0;1;3.7;327.872340426;182.25
1;0;1;3.6;316.450980392;177.5
2;0;1;3.7;306.345454545;177.25
3;0;1;3.3;297.593220339;179.5
4;0;1;3.2;290.095238095;178.5
5;0;1;3.3;283.432835821;192.5
6;0;1;3.2;278.309859155;241.0
7;0;1;3.4;276.32;312.5
8;0;1;4.0;278.151898734;374.75
9;0;1;4.2;282.807228916;427.0
10;0;1;4.4;285.858823529;433.0
11;0;1;5.3;284.670588235;438.666666667
12;0;1;8.3;281.047619048;419.75
13;0;1;10.4;278.535714286;402.25
14;0;1;10.1;284.159090909;409.0
15;0;1;9.9;289.586956522;441.5
16;0;1;9.0;294.684210526;397.5
17;0;1;7.1;295.621052632;358.5
18;0;1;6.9;296.357894737;344.5
19;0;1;7.0;297.252631579;291.25
20;0;1;6.6;297.526315789;240.5
21;0;1;6.3;298.157894737;220.5
22;0;1;6.4;298.842105263;199.0
23;0;1;6.0;299.378947368;186.75
0;0;1;5.9;299.610526316;176.75
1;0;1;5.8;299.378947368;172.0
2;0;1;5.8;299.147368421;172.0
3;0;1;5.5;298.926315789;173.25
4;0;1;4.1;298.663157895;171.75
5;0;1;3.6;298.378947368;180.75
6;0;1;3.4;297.884210526;218.0
7;0;1;3.2;296.915789474;254.5
8;0;1;4.8;294.473684211;350.75
9;0;1;6.1;293.463157895;422.25
10;0;1;8.9;293.263157895;429.5
11;0;1;10.7;293.115789474;444.5
12;0;1;11.9;294.875;452.75
13;0;1;12.9;296.25;459.25
14;0;1;12.4;298.625;427.75
15;0;1;12.2;299.40625;422.25
16;0;1;9.7;298.604166667;391.5
17;0;1;7.3;298.354166667;355.5
18;0;1;5.8;298.229166667;294.5
19;0;1;4.7;296.145833333;264.5
20;0;1;4.6;295.03125;226.25
21;0;1;3.8;294.4375;202.75
