Praznik;Mjesec;Temperatura;ProsjekU24h;Potrosnja
1;1;-4.2;158.166666667;158.25
1;1;-0.7;164.197916667;172.25
0;1;-2.5;246.416666667;406.5
0;1;-2.8;294.604166667;402.0
0;1;-1.8;289.852631579;413.25
1;1;2.4;215.520833333;194.75
0;1;12.5;197.822916667;227.5
1;1;13.9;185.697916667;189.0
1;1;14.2;176.40625;176.5
0;1;10.1;263.395833333;451.75
0;1;4.2;307.614583333;458.25
0;1;6.3;346.26;413.0
0;1;9.9;289.586956522;441.5
0;1;12.2;299.40625;422.25
1;1;11.8;221.760416667;166.0
1;1;8.9;164.40625;162.5
0;1;10.2;253.020833333;431.25
0;1;3.5;294.59375;386.75
0;1;3.0;293.697916667;464.25
0;1;3.8;305.114583333;471.25
0;1;2.5;312.447916667;449.5
1;1;0.6;220.270833333;205.5
1;1;1.4;182.260416667;183.0
0;1;1.6;259.552083333;388.75
0;1;0.9;295.159574468;406.5
0;1;6.7;297.583333333;428.25
0;1;1.9;297.291666667;415.0
0;1;0.1;302.697916667;445.25
1;1;-0.1;219.6875;192.75
1;1;-0.1;179.197916667;190.75
0;1;-0.5;253.71875;414.5
0;2;-1.6;293.864583333;393.25
0;2;-2.1;284.104166667;397.25
0;2;1.4;280.572916667;356.75
0;2;7.2;266.90625;333.5
1;2;14.8;200.270833333;181.0
1;2;13.3;176.104166667;180.25
0;2;16.5;236.270833333;365.0
0;2;14.8;265.229166667;345.75
0;2;11.6;270.302083333;372.0
0;2;10.4;268.395833333;326.75
0;2;14.4;266.40625;331.0
1;2;4.5;203.166666667;200.0
1;2;3.8;187.322916667;182.25
0;2;2.1;271.135416667;476.0
0;2;0.6;324.614583333;489.75
0;2;3.2;320.96875;452.75
0;2;4.2;317.052083333;462.75
0;2;4.3;318.375;443.75
1;2;7.9;214.791666667;158.5
1;2;6.2;158.572916667;185.75
0;2;-0.9;274.072916667;443.0
0;2;-0.4;311.052083333;435.75
0;2;-0.5;293.416666667;402.75
0;2;1.4;286.135416667;382.0
0;2;1.8;294.020833333;352.0
1;2;1.5;216.322916667;190.25
1;2;-0.5;183.770833333;195.75
0;2;0.1;280.041666667;468.75
0;3;2.0;321.958333333;449.5
0;3;-0.2;318.489583333;439.5
0;3;0.1;313.666666667;447.25
0;3;3.8;305.583333333;413.5
1;3;2.8;195.641985033;199.671532847
1;3;5.9;182.782064969;182.151515152
0;3;3.4;261.668094924;403.912408759
0;3;6.2;298.216466235;390.8
0;3;9.2;300.622512235;431.05859375
0;3;16.1;300.527275688;391.6015625
0;3;17.9;297.794687958;395.326848249
1;3;17.6;222.474971466;197.682352941
1;3;15.2;192.368944707;195.19140625
0;3;17.4;272.574592834;418.9453125
0;3;18.7;377.705701079;432.25
0;3;10.5;316.708333333;477.75
0;3;16.2;314.0625;429.5
0;3;12.5;314.416666667;436.25
1;3;7.1;228.020833333;217.25
1;3;10.2;190.916666667;188.5
0;3;8.5;261.625;406.25
0;3;13.9;285.947916667;385.75
0;3;16.7;289.71875;407.25
0;3;20.3;287.073684211;422.5
0;3;22.4;293.854166667;374.5
1;3;19.8;230.114583333;206.75
1;3;15.6;195.75;201.25
0;3;11.7;198.916666667;NaN
0;3;14.9;391.85;414.5
0;3;17.2;284.463157895;377.0
0;3;18.9;299.0625;368.25
0;4;19.7;263.055555556;NaN
1;4;21.3;NaN;NaN
1;4;21.8;NaN;NaN
0;4;23.0;NaN;NaN
0;4;14.6;NaN;NaN
0;4;18.3;NaN;NaN
0;4;25.6;NaN;NaN
0;4;20.4;NaN;NaN
1;4;21.3;NaN;NaN
1;4;19.0;NaN;NaN
0;4;18.6;NaN;NaN
0;4;23.2;NaN;NaN
0;4;13.0;NaN;NaN
0;4;13.6;NaN;NaN
0;4;13.8;NaN;NaN
1;4;13.3;170.333333333;172.75
1;4;14.0;158.75;160.75
0;4;17.6;228.1875;381.5
0;4;18.2;262.3125;380.0
0;4;21.1;265.583333333;371.0
0;4;23.7;264.645833333;358.0
0;4;23.5;243.114583333;278.5
1;4;23.2;164.5;154.0
1;4;23.3;145.020833333;145.5
1;4;21.6;149.75;157.0
0;4;13.5;234.666666667;394.0
0;4;16.3;266.416666667;408.5
0;4;14.9;279.789473684;417.5
0;4;16.5;282.104166667;379.5
1;4;18.9;192.135416667;175.0
1;5;18.4;169.875;163.25
0;5;19.3;223.333333333;330.25
0;5;23.8;246.375;378.0
0;5;13.6;277.0;367.5
0;5;15.7;356.143753923;386.911111111
0;5;17.8;250.529312977;352.313953488
1;5;22.8;188.278409091;170.655737705
1;5;13.7;161.405363589;181.518672199
0;5;18.6;172.145661157;324.5
0;5;23.2;240.34375;377.75
0;5;24.9;257.572916667;347.75
0;5;25.9;256.145833333;359.75
0;5;23.4;237.361111111;NaN
1;5;26.0;231.9375;237.0
1;5;11.5;202.235515021;214.696682464
0;5;16.8;260.490673299;384.388127854
0;5;19.0;265.011902513;394.145299145
0;5;22.5;276.219503418;394.723577236
0;5;24.8;266.784157731;397.755102041
0;5;26.0;272.700076658;379.03125
1;5;17.5;194.578678281;211.469194313
1;5;25.7;161.345351044;169.952173913
0;5;23.8;249.75404157;476.127272727
0;5;26.7;292.312927757;457.556053812
0;5;25.3;242.551846591;430.0
0;5;26.3;352.009946125;435.008849558
0;5;30.5;304.531565657;526.431623932
1;5;15.7;224.163203153;206.692307692
1;5;22.2;168.028295129;192.88362069
0;5;24.4;254.535784401;456.848101266
0;5;26.7;295.9615797;526.0969163
