Praznik;Mjesec;Temperatura;PrijasnjaPotrosnja;Potrosnja
1;1;-4.3;158.5;158.0
1;1;-0.5;172.25;170.75
0;1;-2.4;403.75;405.75
0;1;-1.7;423.75;408.25
0;1;-1.7;426.25;422.75
1;1;2.1;187.25;186.75
0;1;13.1;232.75;233.25
1;1;14.4;179.75;185.5
1;1;15.2;177.75;178.0
0;1;11.1;489.5;466.0
0;1;4.3;495.0;491.25
0;1;7.0;NaN;NaN
0;1;10.1;402.25;409.0
0;1;12.4;459.25;427.75
1;1;12.5;191.5;173.25
1;1;9.9;163.0;161.5
0;1;10.5;454.75;450.0
0;1;4.8;421.0;399.0
0;1;2.3;445.25;450.0
0;1;3.9;448.25;450.0
0;1;2.8;477.25;461.0
1;1;0.8;208.0;203.5
1;1;1.4;185.75;184.25
0;1;1.8;439.25;418.25
0;1;1.0;421.75;429.0
0;1;7.0;439.5;446.25
0;1;2.1;456.75;433.5
0;1;0.0;470.75;457.75
1;1;0.0;188.75;185.0
1;1;0.0;177.0;182.75
0;1;-0.4;457.25;437.25
0;2;-1.3;429.75;421.0
0;2;-2.2;417.25;413.75
0;2;1.6;408.5;376.25
0;2;7.4;362.0;350.75
1;2;15.1;185.75;187.5
1;2;13.5;178.25;179.0
0;2;17.0;381.25;372.0
0;2;14.7;375.25;353.5
0;2;11.8;398.0;403.75
0;2;10.1;374.0;338.75
0;2;16.0;370.5;364.75
1;2;5.1;198.25;199.0
1;2;4.0;183.5;184.0
0;2;2.1;477.5;481.5
0;2;0.6;504.0;503.0
0;2;3.1;455.75;477.25
0;2;3.8;479.0;479.25
0;2;4.6;478.75;468.0
1;2;7.4;157.5;160.25
1;2;6.5;188.25;185.5
0;2;-0.1;475.0;477.25
0;2;-0.7;458.0;458.25
0;2;-0.6;411.75;395.25
0;2;1.4;418.25;415.75
0;2;2.4;429.25;392.0
1;2;1.5;192.25;190.5
1;2;-0.3;193.75;192.5
0;2;0.1;493.5;488.5
0;3;2.3;493.5;482.75
0;3;0.5;471.0;448.25
0;3;0.0;485.0;465.75
0;3;3.7;467.5;440.5
1;3;2.8;209.335766423;207.288321168
1;3;5.1;183.959854015;183.248175182
0;3;4.3;450.186131387;443.725274725
0;3;5.7;438.233463035;429.922178988
0;3;8.6;461.0703125;447.02734375
0;3;15.7;430.792156863;408.175097276
0;3;17.8;427.774319066;417.098039216
1;3;18.0;198.45703125;197.7
1;3;15.0;192.220472441;191.498007968
0;3;17.6;455.521568627;443.785992218
0;3;19.0;422.25;424.5
0;3;10.2;464.5;474.0
0;3;15.4;457.5;458.0
0;3;12.5;466.0;459.25
1;3;7.9;198.25;212.0
1;3;10.4;187.25;186.0
0;3;8.2;424.5;412.25
0;3;13.4;398.0;390.75
0;3;16.8;408.25;417.75
0;3;19.5;426.5;426.0
0;3;23.1;419.25;397.0
1;3;19.9;202.5;209.5
1;3;15.8;194.75;204.0
0;3;11.8;NaN;NaN
0;3;14.9;391.0;401.75
0;3;17.3;383.5;376.5
0;3;19.2;497.0;436.0
0;4;19.7;NaN;NaN
1;4;21.3;NaN;NaN
1;4;21.8;NaN;NaN
0;4;23.0;NaN;NaN
0;4;16.1;NaN;NaN
0;4;18.2;NaN;NaN
0;4;26.4;NaN;NaN
0;4;19.9;NaN;NaN
1;4;22.2;NaN;NaN
1;4;18.4;NaN;NaN
0;4;18.4;NaN;NaN
0;4;24.2;NaN;NaN
0;4;14.1;NaN;NaN
0;4;14.2;NaN;NaN
0;4;13.0;NaN;NaN
1;4;14.0;NaN;170.333333333
1;4;14.4;157.25;158.25
0;4;16.9;411.75;413.0
0;4;18.4;428.75;422.75
0;4;21.0;388.5;398.0
0;4;23.6;413.0;393.75
0;4;23.0;322.75;303.5
1;4;23.7;163.5;156.5
1;4;23.6;145.0;144.75
1;4;21.7;162.25;160.75
0;4;14.7;428.0;420.75
0;4;16.4;418.5;409.5
0;4;15.9;454.25;435.0
0;4;16.2;440.75;414.0
1;4;18.8;167.0;166.25
1;5;18.9;160.75;162.25
0;5;19.6;396.5;364.5
0;5;23.7;363.25;373.5
0;5;13.5;383.25;380.25
0;5;15.8;401.907063197;388.558052434
0;5;17.8;360.435897436;353.820224719
1;5;22.8;178.391836735;169.679012346
1;5;12.9;177.280487805;178.18487395
0;5;18.7;412.25;365.75
0;5;23.3;371.75;356.5
0;5;25.0;380.25;367.75
0;5;26.5;405.0;372.5
0;5;22.9;NaN;NaN
1;5;25.6;230.5;237.75
1;5;12.0;210.466346154;214.121495327
0;5;17.3;404.049107143;410.918918919
0;5;19.4;403.245614035;394.703056769
0;5;22.5;421.939271255;421.61752988
0;5;25.3;425.78;418.497959184
0;5;26.5;430.9004329;417.675438596
1;5;26.6;193.943925234;210.967889908
1;5;26.0;163.935064935;165.375565611
0;5;27.3;485.692307692;499.836283186
0;5;26.8;471.905063291;465.41875
0;5;25.3;459.25;453.0
0;5;25.7;471.230088496;476.809734513
0;5;29.8;535.563559322;537.458515284
1;5;15.6;208.360515021;225.815450644
1;5;22.6;199.1;187.429752066
0;5;24.3;488.99137931;482.327659574
0;5;26.6;522.43776824;537.876068376
