Sat;Praznik;Mjesec;Vlaga;PrijasnjaPotrosnja;Potrosnja
0;1;1;0.93;NaN;171.25
1;1;1;0.94;171.25;171.0
2;1;1;0.95;171.0;171.5
3;1;1;0.95;171.5;171.5
4;1;1;0.96;171.5;163.5
5;1;1;0.96;163.5;156.5
6;1;1;0.97;156.5;157.25
7;1;1;0.97;157.25;153.0
8;1;1;0.96;153.0;147.75
9;1;1;0.96;147.75;145.75
10;1;1;0.96;145.75;146.5
11;1;1;0.96;146.5;150.25
12;1;1;0.95;150.25;150.25
13;1;1;0.95;150.25;158.5
14;1;1;0.95;158.5;158.0
15;1;1;0.95;158.0;158.25
16;1;1;0.95;158.25;162.5
17;1;1;0.95;162.5;164.25
18;1;1;0.95;164.25;165.0
19;1;1;0.95;165.0;167.0
20;1;1;0.95;167.0;169.0
21;1;1;0.95;169.0;165.75
22;1;1;0.95;165.75;163.0
23;1;1;0.96;163.0;161.75
0;1;1;0.96;161.75;162.0
1;1;1;0.96;162.0;162.75
2;1;1;0.96;162.75;161.25
3;1;1;0.96;161.25;159.75
4;1;1;0.97;159.75;158.0
5;1;1;0.97;158.0;160.25
6;1;1;0.97;160.25;163.0
7;1;1;0.96;163.0;161.25
8;1;1;0.95;161.25;161.75
9;1;1;0.94;161.75;160.0
10;1;1;0.94;160.0;167.25
11;1;1;0.92;167.25;173.0
12;1;1;0.91;173.0;171.0
13;1;1;0.9;171.0;172.25
14;1;1;0.9;172.25;170.75
15;1;1;0.91;170.75;172.25
16;1;1;0.91;172.25;179.25
17;1;1;0.92;179.25;184.5
18;1;1;0.92;184.5;184.5
19;1;1;0.91;184.5;184.25
20;1;1;0.91;184.25;178.0
21;1;1;0.93;178.0;174.0
22;1;1;0.93;174.0;176.5
23;1;1;0.94;176.5;171.5
0;0;1;0.95;171.5;169.5
1;0;1;0.96;169.5;167.5
2;0;1;0.96;167.5;166.25
3;0;1;0.97;166.25;165.5
4;0;1;0.98;165.5;165.5
5;0;1;0.98;165.5;172.75
6;0;1;0.99;172.75;224.5
7;0;1;0.99;224.5;284.0
8;0;1;0.98;284.0;344.0
9;0;1;0.98;344.0;393.5
10;0;1;0.98;393.5;419.25
11;0;1;0.98;419.25;412.25
12;0;1;0.97;412.25;415.25
13;0;1;0.97;415.25;403.75
14;0;1;0.96;403.75;405.75
15;0;1;0.96;405.75;406.5
16;0;1;0.95;406.5;380.0
17;0;1;0.92;380.0;348.5
18;0;1;0.88;348.5;321.25
19;0;1;0.88;321.25;271.0
20;0;1;0.89;271.0;219.0
21;0;1;0.92;219.0;205.0
22;0;1;0.92;205.0;187.5
23;0;1;0.92;187.5;181.0
0;0;1;0.92;181.0;178.75
1;0;1;0.92;178.75;178.0
2;0;1;0.91;178.0;179.0
3;0;1;0.91;179.0;178.75
4;0;1;0.91;178.75;179.25
5;0;1;0.91;179.25;183.5
6;0;1;0.9;183.5;228.25
7;0;1;0.79;228.25;276.5
8;0;1;0.8;276.5;363.0
9;0;1;0.83;363.0;436.0
10;0;1;0.81;436.0;446.25
11;0;1;0.82;446.25;451.5
