Praznik;Mjesec;Vlaga;PrijasnjaPotrosnja;Potrosnja
1;1;0.95;171.5;171.5
1;1;0.96;161.25;159.75
0;1;0.97;166.25;165.5
0;1;0.91;179.0;178.75
0;1;0.86;175.0;176.0
1;1;0.9;168.0;167.75
0;1;0.83;175.0;173.5
1;1;0.73;171.75;170.25
1;1;0.88;166.5;166.25
0;1;0.96;165.5;165.25
0;1;0.95;176.25;178.0
0;1;0.97;NaN;NaN
0;1;0.96;177.25;179.5
0;1;0.94;172.0;173.25
1;1;0.93;180.5;179.0
1;1;0.98;160.75;159.5
0;1;0.99;155.75;155.0
0;1;0.94;178.0;174.0
0;1;0.97;173.0;171.75
0;1;0.91;172.0;170.5
0;1;0.72;169.5;171.5
1;1;0.67;171.0;168.5
1;1;0.74;176.25;175.75
0;1;0.94;163.25;163.5
0;1;0.88;170.5;171.0
0;1;0.82;180.25;176.25
0;1;0.86;170.75;169.75
0;1;0.87;172.75;175.0
1;1;0.86;177.0;177.5
1;1;0.78;174.25;170.75
0;1;0.74;166.75;165.0
0;2;0.74;186.75;188.0
0;2;0.87;180.0;181.0
0;2;0.8;182.5;186.25
0;2;0.91;179.0;177.75
1;2;0.92;172.5;170.75
1;2;0.9;169.5;170.25
0;2;0.89;167.5;166.75
0;2;0.88;177.25;179.0
0;2;0.85;176.5;176.0
0;2;0.9;179.25;179.0
0;2;0.89;186.5;186.0
1;2;0.59;177.5;175.75
1;2;0.6;187.5;188.75
0;2;0.94;178.75;179.75
0;2;0.94;187.25;187.0
0;2;0.94;194.0;193.75
0;2;0.94;189.0;190.25
0;2;0.95;183.5;182.5
1;2;0.76;185.25;177.25
1;2;0.94;151.75;151.75
0;2;0.81;184.25;184.25
0;2;0.74;190.75;187.25
0;2;0.66;181.25;181.25
0;2;0.88;174.0;174.75
0;2;0.82;179.5;180.5
1;2;0.67;184.25;181.25
1;2;0.77;185.25;182.0
0;2;0.89;181.5;179.75
0;3;0.79;188.25;188.5
0;3;0.76;189.25;187.25
0;3;0.83;180.75;181.5
0;3;0.86;176.75;177.25
1;3;0.88;179.0;176.25
1;3;0.9;179.452554745;176.47810219
0;3;0.42;171.682481752;172.315018315
0;3;0.74;183.963898917;183.329710145
0;3;0.81;186.876494024;186.86770428
0;3;0.76;195.62890625;194.1875
0;3;0.8;186.175097276;184.6875
1;3;0.63;190.417670683;183.49609375
1;3;0.67;188.763052209;187.490272374
0;3;0.7;184.688715953;185.106299213
0;3;0.89;188.0;187.0
0;3;0.86;186.25;185.0
0;3;0.88;187.0;184.75
0;3;0.92;188.0;187.75
1;3;0.89;186.5;184.0
1;3;0.6;186.25;185.5
0;3;0.6;181.5;180.0
0;3;0.88;184.75;185.75
0;3;0.82;187.25;187.0
0;3;0.84;194.25;193.666666667
0;3;0.81;189.25;188.0
1;3;0.49;187.75;184.0
1;3;0.75;NaN;196.75
0;3;0.91;NaN;NaN
0;3;0.96;NaN;NaN
0;3;0.9;191.5;190.666666667
0;3;0.83;193.25;193.0
0;4;0.79;NaN;NaN
1;4;0.9;NaN;NaN
1;4;0.8;NaN;NaN
0;4;0.77;NaN;NaN
0;4;0.88;NaN;NaN
0;4;0.87;NaN;NaN
0;4;0.86;NaN;NaN
0;4;0.68;NaN;NaN
1;4;0.88;NaN;NaN
1;4;0.78;NaN;NaN
0;4;0.87;NaN;NaN
0;4;0.83;NaN;NaN
0;4;0.87;NaN;NaN
0;4;0.52;NaN;NaN
0;4;0.81;NaN;NaN
1;4;0.72;NaN;NaN
1;4;0.68;147.75;147.75
0;4;0.8;141.5;142.5
0;4;0.78;151.75;151.25
0;4;0.82;157.0;156.25
0;4;0.84;152.5;150.5
0;4;0.81;151.5;151.75
1;4;0.84;146.25;145.5
1;4;0.58;143.0;141.0
1;4;0.84;143.25;142.5
0;4;0.83;141.75;140.25
0;4;0.72;150.25;150.25
0;4;0.66;152.5;151.25
0;4;0.85;158.75;158.5
1;4;0.94;159.75;158.5
1;5;0.89;179.0;176.25
0;5;0.88;152.75;153.5
0;5;0.84;150.75;150.25
0;5;0.68;167.0;NaN
0;5;0.74;154.75;153.75
0;5;0.76;154.620437956;155.382352941
1;5;0.82;155.367768595;153.157676349
1;5;0.77;156.493775934;155.265560166
0;5;0.89;150.75;152.0
0;5;0.81;152.25;152.5
0;5;0.84;158.5;158.0
0;5;0.83;165.0;163.0
0;5;0.71;NaN;NaN
1;5;0.84;NaN;NaN
1;5;0.81;187.25;182.75
0;5;0.82;179.93877551;175.079497908
0;5;0.58;154.858870968;154.421052632
0;5;0.79;150.49339207;148.055319149
0;5;0.82;145.241935484;145.457831325
0;5;0.86;154.791878173;153.805194805
1;5;0.85;152.966824645;150.413636364
1;5;0.88;147.353982301;146.163090129
0;5;0.87;147.823529412;146.938596491
0;5;0.87;157.113537118;157.627705628
0;5;0.86;160.386666667;159.107758621
0;5;0.75;157.5;156.25
0;5;0.85;163.029535865;161.679487179
1;5;0.86;161.513043478;157.151515152
1;5;0.87;155.560869565;154.200854701
0;5;0.83;149.769911504;150.449152542
0;5;0.82;162.868644068;160.225531915
