Praznik;Mjesec;Tlak;PrijasnjaPotrosnja;Potrosnja
1;1;1001.8;158.0;158.25
1;1;1003.5;170.75;172.25
0;1;1007.8;405.75;406.5
0;1;1007.7;408.25;402.0
0;1;1006.1;422.75;413.25
1;1;1002.5;186.75;194.75
0;1;1005.0;233.25;227.5
1;1;1003.8;185.5;189.0
1;1;1002.8;178.0;176.5
0;1;1004.8;466.0;451.75
0;1;998.6;491.25;458.25
0;1;1005.6;NaN;413.0
0;1;999.1;409.0;441.5
0;1;1002.4;427.75;422.25
1;1;1008.7;173.25;166.0
1;1;1014.2;161.5;162.5
0;1;1009.6;450.0;431.25
0;1;1010.3;399.0;386.75
0;1;1006.1;450.0;464.25
0;1;1005.7;450.0;471.25
0;1;1009.5;461.0;449.5
1;1;1009.4;203.5;205.5
1;1;1005.1;184.25;183.0
0;1;1005.0;418.25;388.75
0;1;999.5;429.0;406.5
0;1;994.0;446.25;428.25
0;1;1000.7;433.5;415.0
0;1;1008.3;457.75;445.25
1;1;1007.6;185.0;192.75
1;1;1005.5;182.75;190.75
0;1;1010.0;437.25;414.5
0;2;1010.9;421.0;393.25
0;2;1013.0;413.75;397.25
0;2;1012.4;376.25;356.75
0;2;1013.9;350.75;333.5
1;2;1007.5;187.5;181.0
1;2;1009.6;179.0;180.25
0;2;1006.8;372.0;365.0
0;2;1003.5;353.5;345.75
0;2;1007.2;403.75;372.0
0;2;1007.1;338.75;326.75
0;2;999.5;364.75;331.0
1;2;1004.2;199.0;200.0
1;2;1000.7;184.0;182.25
0;2;998.4;481.5;476.0
0;2;994.2;503.0;489.75
0;2;991.2;477.25;452.75
0;2;992.1;479.25;462.75
0;2;995.6;468.0;443.75
1;2;998.2;160.25;158.5
1;2;998.7;185.5;185.75
0;2;1000.4;477.25;443.0
0;2;1000.1;458.25;435.75
0;2;1007.9;395.25;402.75
0;2;1011.5;415.75;382.0
0;2;1010.5;392.0;352.0
1;2;1008.1;190.5;190.25
1;2;1002.7;192.5;195.75
0;2;1010.0;488.5;468.75
0;3;1014.9;482.75;449.5
0;3;1014.4;448.25;439.5
0;3;1016.4;465.75;447.25
0;3;1015.7;440.5;413.5
1;3;1005.7;207.288321168;199.671532847
1;3;1006.0;183.248175182;182.151515152
0;3;1018.7;443.725274725;403.912408759
0;3;1016.4;429.922178988;390.8
0;3;1006.3;447.02734375;431.05859375
0;3;1003.4;408.175097276;391.6015625
0;3;1003.2;417.098039216;395.326848249
1;3;1002.8;197.7;197.682352941
1;3;1000.8;191.498007968;195.19140625
0;3;1003.8;443.785992218;418.9453125
0;3;1001.6;424.5;432.25
0;3;994.6;474.0;477.75
0;3;990.3;458.0;429.5
0;3;999.4;459.25;436.25
1;3;1007.2;212.0;217.25
1;3;1012.0;186.0;188.5
0;3;1017.6;412.25;406.25
0;3;1017.6;390.75;385.75
0;3;1015.8;417.75;407.25
0;3;1013.6;426.0;422.5
0;3;999.7;397.0;374.5
1;3;995.3;209.5;206.75
1;3;998.9;204.0;201.25
0;3;997.8;NaN;NaN
0;3;1000.7;401.75;414.5
0;3;1001.0;376.5;377.0
0;3;1005.3;436.0;368.25
0;4;1005.9;NaN;NaN
1;4;1003.3;NaN;NaN
1;4;997.9;NaN;NaN
0;4;996.1;NaN;NaN
0;4;1009.1;NaN;NaN
0;4;1010.4;NaN;NaN
0;4;1001.8;NaN;NaN
0;4;999.4;NaN;NaN
1;4;997.0;NaN;NaN
1;4;1001.0;NaN;NaN
0;4;1003.0;NaN;NaN
0;4;992.4;NaN;NaN
0;4;997.5;NaN;NaN
0;4;996.6;NaN;NaN
0;4;1000.6;NaN;NaN
1;4;1004.6;170.333333333;172.75
1;4;1006.3;158.25;160.75
0;4;1004.3;413.0;381.5
0;4;1000.9;422.75;380.0
0;4;1002.5;398.0;371.0
0;4;1000.2;393.75;358.0
0;4;997.6;303.5;278.5
1;4;997.6;156.5;154.0
1;4;998.1;144.75;145.5
1;4;998.4;160.75;157.0
0;4;998.6;420.75;394.0
0;4;996.9;409.5;408.5
0;4;996.9;435.0;417.5
0;4;994.7;414.0;379.5
1;4;990.8;166.25;175.0
1;5;988.6;162.25;163.25
0;5;992.5;364.5;330.25
0;5;986.8;373.5;378.0
0;5;1000.9;380.25;367.5
0;5;1009.0;388.558052434;386.911111111
0;5;1010.6;353.820224719;352.313953488
1;5;1004.8;169.679012346;170.655737705
1;5;1005.8;178.18487395;181.518672199
0;5;1009.4;365.75;324.5
0;5;1009.4;356.5;377.75
0;5;1003.0;367.75;347.75
0;5;998.3;372.5;359.75
0;5;1003.7;NaN;NaN
1;5;997.9;237.75;237.0
1;5;1000.5;214.121495327;214.696682464
0;5;1004.9;410.918918919;384.388127854
0;5;1005.0;394.703056769;394.145299145
0;5;1004.4;421.61752988;394.723577236
0;5;1002.3;418.497959184;397.755102041
0;5;1001.9;417.675438596;379.03125
1;5;1004.1;210.967889908;211.469194313
1;5;1001.8;165.375565611;169.952173913
0;5;1006.0;499.836283186;476.127272727
0;5;1003.6;465.41875;457.556053812
0;5;1006.3;453.0;430.0
0;5;1001.6;476.809734513;435.008849558
0;5;993.8;537.458515284;526.431623932
1;5;1000.5;225.815450644;206.692307692
1;5;1003.7;187.429752066;192.88362069
0;5;1003.2;482.327659574;456.848101266
0;5;997.1;537.876068376;526.0969163
