Praznik;Mjesec;Temperatura;Vlaga;PrijasnjaPotrosnja;Potrosnja
1;1;-4.6;0.95;150.25;158.5
1;1;-0.7;0.9;171.0;172.25
0;1;-2.5;0.97;415.25;403.75
0;1;-1.7;0.68;440.0;423.75
0;1;-1.8;0.75;433.25;426.25
1;1;2.0;0.67;186.25;187.25
0;1;12.9;0.64;233.0;232.75
1;1;13.9;0.65;181.0;179.75
1;1;15.9;0.5;176.75;177.75
0;1;11.5;0.79;492.75;489.5
0;1;4.3;0.97;486.25;495.0
0;1;6.8;0.8;472.5;NaN
0;1;10.4;0.68;419.75;402.25
0;1;12.9;0.58;452.75;459.25
1;1;11.4;0.69;198.75;191.5
1;1;9.1;0.75;162.5;163.0
0;1;9.4;0.71;457.0;454.75
0;1;4.8;0.88;427.5;421.0
0;1;2.2;0.95;464.25;445.25
0;1;4.1;0.59;473.0;448.25
0;1;2.8;0.53;490.25;477.25
1;1;0.9;0.62;213.0;208.0
1;1;1.5;0.46;176.25;185.75
0;1;2.5;0.57;461.5;439.25
0;1;0.8;0.64;433.5;421.75
0;1;7.5;0.48;437.5;439.5
0;1;2.5;0.87;453.0;456.75
0;1;-0.4;0.74;482.5;470.75
1;1;0.1;0.8;189.75;188.75
1;1;0.0;0.67;174.0;177.0
0;1;-0.5;0.81;444.25;457.25
0;2;-1.3;0.67;436.0;429.75
0;2;-2.1;0.73;433.0;417.25
0;2;1.5;0.62;415.0;408.5
0;2;6.9;0.48;360.0;362.0
1;2;12.8;0.44;185.0;185.75
1;2;12.4;0.38;176.0;178.25
0;2;15.6;0.32;384.75;381.25
0;2;14.6;0.36;362.0;375.25
0;2;11.4;0.38;414.75;398.0
0;2;10.2;0.42;385.25;374.0
0;2;14.9;0.34;381.5;370.5
1;2;6.2;0.6;194.75;198.25
1;2;4.0;0.57;182.75;183.5
0;2;2.1;0.93;491.25;477.5
0;2;0.7;0.89;523.5;504.0
0;2;3.0;0.92;465.25;455.75
0;2;3.5;0.89;484.5;479.0
0;2;4.6;0.84;491.5;478.75
1;2;7.3;0.63;164.75;157.5
1;2;7.0;0.48;186.5;188.25
0;2;-0.2;0.77;490.5;475.0
0;2;-0.8;0.86;464.25;458.0
0;2;-1.3;0.55;414.0;411.75
0;2;1.2;0.57;425.0;418.25
0;2;1.8;0.45;441.75;429.25
1;2;1.6;0.69;196.75;192.25
1;2;-0.7;0.76;189.25;193.75
0;2;0.1;0.75;495.0;493.5
0;3;1.5;0.73;496.0;493.5
0;3;0.6;0.72;472.0;471.0
0;3;-0.1;0.77;488.5;485.0
0;3;3.6;0.63;467.0;467.5
1;3;2.5;0.71;206.798534799;209.335766423
1;3;4.6;0.62;174.531135531;183.959854015
0;3;4.4;0.35;456.689781022;450.186131387
0;3;5.3;0.24;440.390625;438.233463035
0;3;7.9;0.31;457.90625;461.0703125
0;3;14.4;0.26;436.726190476;430.792156863
0;3;16.9;0.27;440.274509804;427.774319066
1;3;17.3;0.25;198.832684825;198.45703125
1;3;16.1;0.4;188.47265625;192.220472441
0;3;18.2;0.49;458.3984375;455.521568627
0;3;19.0;0.41;432.25;422.25
0;3;10.4;0.9;493.75;464.5
0;3;16.2;0.5;455.0;457.5
0;3;11.3;0.67;476.5;466.0
1;3;8.9;0.58;178.0;198.25
1;3;9.5;0.44;189.5;187.25
0;3;7.9;0.47;445.0;424.5
0;3;13.4;0.35;415.5;398.0
0;3;16.6;0.38;426.0;408.25
0;3;18.5;0.32;413.0;426.5
0;3;22.5;0.21;435.25;419.25
1;3;20.0;0.34;217.75;202.5
1;3;15.1;0.53;202.25;194.75
0;3;12.3;0.85;NaN;NaN
0;3;15.0;0.55;389.5;391.0
0;3;17.4;0.28;390.0;383.5
0;3;19.1;0.3;493.25;497.0
0;4;19.7;0.33;NaN;NaN
1;4;21.0;0.41;NaN;NaN
1;4;21.5;0.36;NaN;NaN
0;4;22.5;0.42;NaN;NaN
0;4;15.6;0.43;NaN;NaN
0;4;17.4;0.4;NaN;NaN
0;4;25.6;0.33;NaN;NaN
0;4;19.3;0.46;NaN;NaN
1;4;22.3;0.32;NaN;NaN
1;4;17.2;0.29;NaN;NaN
0;4;18.7;0.38;NaN;NaN
0;4;25.3;0.23;NaN;NaN
0;4;11.2;0.4;NaN;NaN
0;4;14.9;0.29;NaN;NaN
0;4;12.3;0.47;NaN;NaN
1;4;13.5;0.44;NaN;NaN
1;4;15.6;0.33;156.75;157.25
0;4;16.6;0.37;419.0;411.75
0;4;18.6;0.32;440.0;428.75
0;4;21.2;0.3;411.5;388.5
0;4;23.5;0.25;428.0;413.0
0;4;22.9;0.28;342.5;322.75
