Sat;Praznik;Mjesec;Temperatura;Tlak;PrijasnjaPotrosnja;Potrosnja
0;1;1;-4.2;1008.5;NaN;171.25
1;1;1;-4.5;1008.4;171.25;171.0
2;1;1;-4.8;1008.0;171.0;171.5
3;1;1;-4.6;1007.6;171.5;171.5
4;1;1;-4.8;1007.9;171.5;163.5
5;1;1;-5.0;1007.6;163.5;156.5
6;1;1;-5.1;1007.0;156.5;157.25
7;1;1;-5.1;1006.7;157.25;153.0
8;1;1;-5.0;1006.3;153.0;147.75
9;1;1;-5.0;1005.9;147.75;145.75
10;1;1;-5.0;1005.4;145.75;146.5
11;1;1;-4.9;1004.5;146.5;150.25
12;1;1;-4.8;1003.4;150.25;150.25
13;1;1;-4.6;1002.8;150.25;158.5
14;1;1;-4.3;1002.3;158.5;158.0
15;1;1;-4.2;1001.8;158.0;158.25
16;1;1;-4.2;1001.6;158.25;162.5
17;1;1;-4.2;1001.4;162.5;164.25
18;1;1;-4.1;1001.4;164.25;165.0
19;1;1;-4.0;1001.5;165.0;167.0
20;1;1;-4.2;1001.9;167.0;169.0
21;1;1;-4.0;1002.2;169.0;165.75
22;1;1;-3.9;1002.5;165.75;163.0
23;1;1;-3.5;1002.5;163.0;161.75
0;1;1;-3.2;1002.2;161.75;162.0
1;1;1;-3.0;1002.2;162.0;162.75
2;1;1;-3.1;1002.1;162.75;161.25
3;1;1;-3.2;1002.0;161.25;159.75
4;1;1;-2.9;1002.0;159.75;158.0
5;1;1;-2.9;1002.1;158.0;160.25
6;1;1;-2.9;1002.3;160.25;163.0
7;1;1;-2.8;1002.8;163.0;161.25
8;1;1;-2.0;1002.9;161.25;161.75
9;1;1;-1.9;1003.3;161.75;160.0
10;1;1;-1.5;1003.5;160.0;167.25
11;1;1;-1.1;1003.3;167.25;173.0
12;1;1;-0.9;1003.0;173.0;171.0
13;1;1;-0.7;1003.0;171.0;172.25
14;1;1;-0.5;1003.2;172.25;170.75
15;1;1;-0.7;1003.5;170.75;172.25
16;1;1;-0.7;1004.1;172.25;179.25
17;1;1;-0.5;1004.5;179.25;184.5
18;1;1;-0.4;1005.0;184.5;184.5
19;1;1;-0.7;1004.9;184.5;184.25
20;1;1;-1.4;1005.4;184.25;178.0
21;1;1;-2.3;1005.4;178.0;174.0
22;1;1;-2.4;1005.5;174.0;176.5
23;1;1;-3.2;1005.5;176.5;171.5
0;0;1;-4.0;1005.3;171.5;169.5
1;0;1;-4.2;1005.6;169.5;167.5
2;0;1;-5.2;1005.7;167.5;166.25
3;0;1;-7.2;1005.6;166.25;165.5
4;0;1;-7.5;1005.8;165.5;165.5
5;0;1;-6.2;1006.0;165.5;172.75
6;0;1;-5.4;1006.2;172.75;224.5
7;0;1;-4.2;1006.7;224.5;284.0
8;0;1;-3.9;1007.1;284.0;344.0
9;0;1;-3.9;1007.6;344.0;393.5
10;0;1;-3.3;1007.9;393.5;419.25
11;0;1;-2.9;1007.9;419.25;412.25
12;0;1;-2.4;1007.4;412.25;415.25
13;0;1;-2.5;1007.2;415.25;403.75
14;0;1;-2.4;1007.4;403.75;405.75
15;0;1;-2.5;1007.8;405.75;406.5
16;0;1;-2.0;1008.1;406.5;380.0
17;0;1;-1.9;1008.4;380.0;348.5
18;0;1;-1.9;1008.8;348.5;321.25
19;0;1;-2.0;1009.0;321.25;271.0
20;0;1;-2.9;1009.0;271.0;219.0
21;0;1;-5.8;1009.3;219.0;205.0
22;0;1;-6.5;1009.5;205.0;187.5
23;0;1;-4.9;1009.7;187.5;181.0
0;0;1;-4.6;1009.4;181.0;178.75
1;0;1;-4.2;1009.4;178.75;178.0
2;0;1;-3.9;1009.0;178.0;179.0
