Praznik;Mjesec;Temperatura;Tlak;PrijasnjaPotrosnja;Potrosnja
1;1;-4.2;1001.6;158.25;162.5
1;1;-0.7;1004.1;172.25;179.25
0;1;-2.0;1008.1;406.5;380.0
0;1;-3.7;1007.7;402.0;387.0
0;1;-1.8;1006.1;413.25;393.5
1;1;4.0;1002.7;194.75;198.25
0;1;12.0;1005.4;227.5;237.5
1;1;12.8;1004.0;189.0;193.75
1;1;13.0;1002.8;176.5;183.0
0;1;9.7;1005.2;451.75;403.75
0;1;4.2;998.4;458.25;416.25
0;1;5.3;1005.9;413.0;375.25
0;1;9.0;999.5;441.5;397.5
0;1;9.7;1002.6;422.25;391.5
1;1;8.3;1009.8;166.0;174.0
1;1;7.3;1014.1;162.5;164.0
0;1;7.1;1009.4;431.25;388.0
0;1;2.5;1010.1;386.75;362.75
0;1;3.0;1006.4;464.25;422.0
0;1;3.7;1005.7;471.25;425.5
0;1;2.2;1009.9;449.5;412.75
1;1;0.1;1009.4;205.5;205.5
1;1;0.2;1004.8;183.0;185.25
0;1;0.4;1005.1;388.75;356.5
0;1;0.8;999.0;406.5;361.5
0;1;6.4;994.1;428.25;383.0
0;1;1.8;1001.1;415.0;346.5
0;1;-0.2;1008.3;445.25;380.25
1;1;-0.1;1007.4;192.75;191.5
1;1;-0.2;1005.6;190.75;187.0
0;1;-0.9;1010.3;414.5;354.5
0;2;-2.2;1011.0;393.25;345.75
0;2;-2.5;1013.1;397.25;333.5
0;2;0.1;1012.5;356.75;316.25
0;2;6.4;1013.9;333.5;286.25
1;2;12.7;1007.6;181.0;181.25
1;2;11.3;1009.6;180.25;175.25
0;2;13.9;1006.6;365.0;300.75
0;2;13.3;1004.1;345.75;294.25
0;2;10.5;1007.1;372.0;306.75
0;2;8.8;1007.0;326.75;294.75
0;2;12.9;999.5;331.0;287.5
1;2;4.5;1004.9;200.0;198.75
1;2;2.7;1000.5;182.25;184.25
0;2;1.9;998.3;476.0;424.5
0;2;0.5;994.1;489.75;427.5
0;2;3.3;990.3;452.75;406.5
0;2;4.0;992.5;462.75;419.25
0;2;4.1;996.1;443.75;392.5
1;2;6.9;998.5;158.5;149.5
1;2;5.8;998.5;185.75;185.25
0;2;-0.9;1000.3;443.0;396.0
0;2;-0.4;1000.2;435.75;410.5
0;2;-0.8;1008.3;402.75;358.0
0;2;0.9;1011.4;382.0;356.25
0;2;0.8;1010.7;352.0;332.5
1;2;1.1;1007.4;190.25;188.25
1;2;-0.7;1003.0;195.75;199.0
0;2;0.1;1010.2;468.75;407.5
0;3;1.5;1014.9;449.5;417.0
0;3;-0.9;1014.7;439.5;418.25
0;3;0.1;1016.4;447.25;413.5
0;3;2.8;1015.3;413.5;364.0
1;3;2.7;1005.2;199.671532847;195.578754579
1;3;5.9;1006.7;182.151515152;NaN
0;3;3.2;1018.9;403.912408759;365.569343066
0;3;5.1;1015.6;390.8;355.933333333
0;3;8.7;1005.8;431.05859375;360.151750973
0;3;15.9;1003.1;391.6015625;356.26
0;3;16.8;1003.2;395.326848249;355.0078125
1;3;16.5;1002.8;197.682352941;197.25390625
1;3;14.7;1000.7;195.19140625;202.57421875
0;3;17.3;1003.8;418.9453125;374.59375
0;3;18.3;1001.4;432.25;420.75
0;3;10.9;994.0;477.75;433.75
0;3;15.0;991.3;429.5;390.0
0;3;11.7;1000.2;436.25;418.0
1;3;7.0;1007.5;217.25;205.0
1;3;9.2;1012.3;188.5;190.0
0;3;8.4;1017.6;406.25;342.5
0;3;13.6;1017.4;385.75;338.25
0;3;16.5;1015.5;407.25;340.5
0;3;20.0;1013.3;422.5;374.25
0;3;21.4;999.3;374.5;363.25
1;3;18.8;995.0;206.75;207.75
1;3;14.7;998.5;201.25;202.25
0;3;11.3;997.8;NaN;NaN
0;3;15.2;1000.4;414.5;375.75
0;3;16.7;1001.0;377.0;326.0
0;3;18.8;1005.3;368.25;319.25
0;4;19.5;1005.9;NaN;NaN
1;4;20.5;1002.7;NaN;NaN
1;4;21.3;997.7;NaN;NaN
0;4;22.5;996.2;NaN;NaN
0;4;14.0;1009.1;NaN;NaN
0;4;17.5;1010.2;NaN;NaN
0;4;25.7;1000.9;NaN;NaN
0;4;20.4;999.1;NaN;NaN
1;4;21.3;997.0;NaN;NaN
1;4;18.7;1000.7;NaN;NaN
0;4;18.3;1003.0;NaN;NaN
0;4;22.2;992.0;NaN;NaN
0;4;12.0;997.9;NaN;NaN
0;4;12.5;997.0;NaN;NaN
0;4;12.6;1000.8;NaN;NaN
1;4;12.0;1005.0;172.75;163.25
1;4;14.5;1006.2;160.75;152.5
0;4;17.3;1003.9;381.5;312.25
0;4;18.2;1000.7;380.0;335.0
0;4;20.6;1002.4;371.0;332.5
0;4;23.7;999.8;358.0;312.5
0;4;23.3;997.2;278.5;232.0
