Praznik;Mjesec;Vlaga;Tlak;PrijasnjaPotrosnja;Potrosnja
1;1;0.96;1005.4;145.75;146.5
1;1;0.94;1003.5;160.0;167.25
0;1;0.98;1007.9;393.5;419.25
0;1;0.81;1009.3;436.0;446.25
0;1;0.89;1007.6;407.5;423.333333333
1;1;0.74;1004.7;176.25;178.25
0;1;0.68;1005.4;225.75;236.0
1;1;0.72;1004.0;171.75;178.75
1;1;0.64;1003.7;166.75;171.0
0;1;0.9;1005.6;448.0;467.5
0;1;0.97;1001.4;446.5;482.5
0;1;0.94;1005.1;441.5;458.25
0;1;0.94;1000.9;427.0;433.0
0;1;0.83;1003.4;422.25;429.5
1;1;0.93;1007.0;191.25;200.5
1;1;0.96;1015.0;152.25;154.75
0;1;0.98;1011.9;426.25;462.25
0;1;0.95;1011.5;422.0;445.25
0;1;0.97;1007.8;423.0;443.0
0;1;0.56;1006.4;426.25;436.0
0;1;0.76;1010.3;462.25;474.25
1;1;0.66;1011.7;200.0;199.5
1;1;0.64;1006.8;169.0;170.75
0;1;0.83;1005.9;428.0;448.75
0;1;0.74;1003.2;414.25;449.0
0;1;0.68;994.6;411.0;444.5
0;1;0.84;1000.1;416.25;424.75
0;1;0.76;1009.6;457.5;469.75
1;1;0.9;1010.3;184.25;185.75
1;1;0.75;1006.4;169.75;168.25
0;1;0.78;1010.2;398.75;423.25
0;2;0.67;1012.7;398.25;397.5
0;2;0.78;1013.7;374.25;404.75
0;2;0.74;1014.7;388.5;391.0
0;2;0.69;1016.3;343.0;351.75
1;2;0.67;1009.8;185.25;184.5
1;2;0.55;1011.4;172.5;172.75
0;2;0.65;1009.9;377.75;366.75
0;2;0.56;1004.0;344.75;363.75
0;2;0.58;1009.4;376.25;378.75
0;2;0.63;1010.4;382.0;390.25
0;2;0.47;1001.7;346.0;358.0
1;2;0.64;1001.4;174.5;180.5
1;2;0.54;1002.8;176.5;176.25
0;2;0.93;999.2;429.5;458.0
0;2;0.92;995.8;443.75;485.75
0;2;0.94;992.8;444.0;453.5
0;2;0.92;991.2;427.5;468.0
0;2;0.92;995.4;436.25;461.5
1;2;0.71;999.0;158.25;164.75
1;2;0.74;1001.5;141.25;158.25
0;2;0.85;1001.2;443.25;465.5
0;2;0.86;999.9;423.75;431.25
0;2;0.63;1008.8;391.75;402.75
0;2;0.65;1013.6;403.25;404.5
0;2;0.44;1011.6;394.25;411.75
1;2;0.73;1012.0;201.25;207.5
1;2;0.8;1003.0;170.75;175.75
0;2;0.89;1009.6;448.25;484.5
0;3;0.82;1015.5;446.5;497.75
0;3;0.79;1014.8;447.25;477.0
0;3;0.8;1016.8;448.0;476.75
0;3;0.71;1017.6;417.75;462.0
1;3;0.81;1008.6;187.583941606;196.339552239
1;3;0.72;1006.7;172.396363636;173.919708029
0;3;0.4;1017.4;400.791970803;436.091240876
0;3;0.4;1020.9;422.022813688;415.945848375
0;3;0.39;1010.2;405.642023346;430.31640625
0;3;0.39;1005.9;396.747081712;424.296875
0;3;0.36;1005.6;400.65234375;437.221789883
1;3;0.41;1005.7;186.75;187.536964981
1;3;0.47;1002.2;182.661478599;184.14453125
0;3;0.52;1003.7;400.515625;431.72265625
0;3;0.48;1004.4;391.75;423.75
0;3;0.83;998.1;449.25;479.25
0;3;0.9;988.2;427.0;457.25
0;3;0.62;997.6;425.5;464.0
1;3;0.8;1006.9;176.5;172.25
1;3;0.52;1013.3;185.25;187.25
0;3;0.57;1018.0;416.75;439.5
0;3;0.43;1020.8;393.25;424.75
0;3;0.33;1018.8;378.75;407.0
0;3;0.41;1018.0;390.25;389.5
0;3;0.34;1005.8;366.5;418.5
1;3;0.51;998.0;230.0;253.0
1;3;0.67;1002.1;185.5;193.25
0;3;0.88;998.4;NaN;NaN
0;3;0.66;1002.2;NaN;389.5
0;3;0.49;1003.4;382.25;415.25
0;3;0.37;1007.1;395.75;434.5
0;4;0.43;1008.8;NaN;NaN
1;4;0.47;1007.0;NaN;NaN
1;4;0.46;1000.9;NaN;NaN
0;4;0.43;998.5;NaN;NaN
0;4;0.57;1009.6;NaN;NaN
0;4;0.43;1013.0;NaN;NaN
0;4;0.41;1007.8;NaN;NaN
0;4;0.57;1002.6;NaN;NaN
1;4;0.34;998.8;NaN;NaN
1;4;0.32;1005.1;NaN;NaN
