Praznik;Mjesec;Temperatura;Vlaga;Tlak;PrijasnjaPotrosnja;Potrosnja
1;1;-4.0;0.95;1002.2;169.0;165.75
1;1;-2.3;0.93;1005.4;178.0;174.0
0;1;-5.8;0.92;1009.3;219.0;205.0
0;1;-2.8;0.86;1007.9;230.25;202.75
0;1;-3.2;0.85;1006.5;230.75;201.5
1;1;3.8;0.84;1002.1;185.25;179.25
0;1;11.6;0.74;1005.5;194.0;183.75
1;1;11.0;0.78;1004.8;193.25;183.75
1;1;11.6;0.65;1003.3;190.0;180.5
0;1;5.9;0.89;1004.4;220.25;203.5
0;1;4.1;0.97;998.2;244.0;219.0
0;1;1.1;0.96;1007.5;225.5;204.25
0;1;6.3;0.92;1000.4;240.5;220.5
0;1;3.8;0.92;1002.0;226.25;202.75
1;1;3.1;0.96;1012.5;178.0;171.5
1;1;2.0;0.96;1013.7;176.0;168.75
0;1;3.2;0.91;1009.0;229.25;210.0
0;1;-0.8;0.98;1009.8;232.25;210.5
0;1;3.2;0.96;1006.2;230.5;202.5
0;1;2.8;0.59;1007.3;235.25;207.5
0;1;0.8;0.67;1010.9;212.75;192.25
1;1;-0.7;0.62;1008.3;192.5;184.75
1;1;-1.1;0.68;1005.0;190.0;184.0
0;1;-2.1;0.79;1006.3;255.75;211.5
0;1;-1.0;0.77;997.3;246.5;213.0
0;1;1.4;0.84;996.2;247.75;210.25
0;1;0.7;0.9;1003.6;241.25;220.25
0;1;-0.1;0.75;1009.5;225.75;212.5
1;1;-0.7;0.73;1007.2;187.25;185.0
1;1;-0.9;0.69;1006.9;180.75;179.25
0;1;-1.9;0.77;1011.7;242.75;236.0
0;2;-3.9;0.93;1011.8;230.25;219.0
0;2;-3.7;0.86;1014.6;225.0;207.0
0;2;-4.3;0.9;1013.2;230.0;220.25
0;2;-1.4;0.88;1013.1;204.75;191.0
1;2;0.2;0.85;1008.7;179.75;179.0
1;2;1.8;0.8;1010.1;184.25;178.0
0;2;2.5;0.74;1005.9;222.75;213.75
0;2;8.4;0.54;1007.4;218.75;211.25
0;2;1.9;0.81;1009.0;223.25;209.5
0;2;2.0;0.8;1005.9;230.5;221.75
0;2;8.1;0.61;998.5;202.0;196.0
1;2;3.6;0.55;1006.1;191.25;185.75
1;2;1.6;0.93;1000.7;185.25;183.5
0;2;0.9;0.82;999.0;248.5;228.5
0;2;0.4;0.87;994.1;248.0;229.5
0;2;4.6;0.9;989.1;238.25;221.5
0;2;4.1;0.93;994.4;252.5;224.5
0;2;3.6;0.86;998.2;251.0;225.25
1;2;4.9;0.87;1000.5;166.25;154.5
1;2;2.7;0.71;999.1;202.75;198.25
0;2;-1.8;0.67;1000.7;258.75;228.25
0;2;-1.2;0.74;1003.0;230.0;212.5
0;2;-3.9;0.66;1011.4;226.0;206.75
0;2;-4.8;0.76;1012.7;248.75;221.75
0;2;-0.3;0.55;1012.2;223.0;216.0
1;2;-3.9;0.83;1005.8;192.0;187.75
1;2;-1.2;0.83;1005.4;203.5;197.0
0;2;0.2;0.82;1011.8;253.5;235.0
0;3;0.0;0.78;1015.9;257.25;235.75
0;3;-1.7;0.88;1016.0;239.5;224.5
0;3;0.5;0.76;1017.7;237.25;213.5
0;3;-2.1;0.9;1014.7;222.5;213.5
1;3;-0.8;0.88;1004.9;195.178832117;190.390510949
1;3;3.6;0.38;1010.8;179.244525547;177.322344322
0;3;-3.5;0.7;1021.2;247.996254682;210.937956204
0;3;-2.5;0.69;1014.1;244.821011673;222.28125
0;3;-0.3;0.66;1006.7;241.910505837;221.132
0;3;2.7;0.65;1004.1;238.105058366;215.819607843
0;3;9.6;0.38;1005.2;233.717647059;209.0546875
1;3;11.5;0.49;1002.8;208.4765625;206.5703125
1;3;12.6;0.56;1001.5;208.715953307;200.482490272
0;3;11.4;0.81;1005.1;241.5;220.25
0;3;14.5;0.65;1003.0;241.0;213.75
0;3;10.2;0.9;991.4;243.5;227.25
0;3;11.6;0.65;993.4;272.0;244.5
0;3;7.6;0.81;1003.9;250.0;222.5
1;3;7.0;0.54;1009.9;202.25;197.5
1;3;6.3;0.5;1014.8;202.25;195.5
0;3;2.4;0.82;1020.0;238.0;224.25
0;3;4.8;0.64;1018.0;236.75;226.75
0;3;7.0;0.82;1017.7;234.75;218.0
0;3;8.2;0.67;1012.3;252.25;231.75
0;3;14.5;0.37;999.4;222.0;205.5
1;3;11.6;0.56;999.4;204.25;201.5
1;3;12.4;0.6;998.8;207.5;203.25
0;3;9.5;0.95;999.7;NaN;NaN
0;3;6.7;0.86;1002.2;238.75;221.25
0;3;7.4;0.72;1003.2;241.0;222.75
0;3;9.0;0.74;1007.1;242.25;229.5
0;4;13.6;0.78;1008.5;NaN;NaN
1;4;11.4;0.76;1002.8;NaN;NaN
1;4;12.4;0.75;999.0;NaN;NaN
0;4;10.8;0.83;1005.5;NaN;NaN
0;4;6.9;0.87;1011.4;NaN;NaN
0;4;10.0;0.82;1010.3;NaN;NaN
0;4;23.1;0.28;999.1;NaN;NaN
0;4;11.3;0.83;998.6;NaN;NaN
1;4;11.6;0.46;1002.6;NaN;NaN
1;4;9.0;0.78;1004.1;NaN;NaN
0;4;10.6;0.76;1002.5;NaN;NaN
0;4;7.8;0.84;1001.4;NaN;NaN
0;4;4.6;0.66;1000.0;NaN;NaN
0;4;6.2;0.81;999.7;NaN;NaN
0;4;7.0;0.84;1003.9;NaN;NaN
1;4;9.2;0.64;1006.7;177.5;175.75
1;4;7.6;0.67;1007.9;162.25;159.5
0;4;7.7;0.59;1004.0;192.75;183.25
