Sat;Dan;Mjesec;Godina;Potrosnja;Temperatura
0;1;1;2011;171.25;-4.2
1;1;1;2011;171.0;-4.5
2;1;1;2011;171.5;-4.8
3;1;1;2011;171.5;-4.6
4;1;1;2011;163.5;-4.8
5;1;1;2011;156.5;-5.0
6;1;1;2011;157.25;-5.1
7;1;1;2011;153.0;-5.1
8;1;1;2011;147.75;-5.0
9;1;1;2011;145.75;-5.0
10;1;1;2011;146.5;-5.0
11;1;1;2011;150.25;-4.9
12;1;1;2011;150.25;-4.8
13;1;1;2011;158.5;-4.6
14;1;1;2011;158.0;-4.3
15;1;1;2011;158.25;-4.2
16;1;1;2011;162.5;-4.2
17;1;1;2011;164.25;-4.2
18;1;1;2011;165.0;-4.1
19;1;1;2011;167.0;-4.0
20;1;1;2011;169.0;-4.2
21;1;1;2011;165.75;-4.0
22;1;1;2011;163.0;-3.9
23;1;1;2011;161.75;-3.5
0;2;1;2011;162.0;-3.2
1;2;1;2011;162.75;-3.0
2;2;1;2011;161.25;-3.1
3;2;1;2011;159.75;-3.2
4;2;1;2011;158.0;-2.9
5;2;1;2011;160.25;-2.9
6;2;1;2011;163.0;-2.9
7;2;1;2011;161.25;-2.8
8;2;1;2011;161.75;-2.0
9;2;1;2011;160.0;-1.9
10;2;1;2011;167.25;-1.5
11;2;1;2011;173.0;-1.1
12;2;1;2011;171.0;-0.9
13;2;1;2011;172.25;-0.7
14;2;1;2011;170.75;-0.5
15;2;1;2011;172.25;-0.7
16;2;1;2011;179.25;-0.7
17;2;1;2011;184.5;-0.5
18;2;1;2011;184.5;-0.4
19;2;1;2011;184.25;-0.7
20;2;1;2011;178.0;-1.4
21;2;1;2011;174.0;-2.3
22;2;1;2011;176.5;-2.4
23;2;1;2011;171.5;-3.2
0;3;1;2011;169.5;-4.0
1;3;1;2011;167.5;-4.2
2;3;1;2011;166.25;-5.2
3;3;1;2011;165.5;-7.2
4;3;1;2011;165.5;-7.5
5;3;1;2011;172.75;-6.2
6;3;1;2011;224.5;-5.4
7;3;1;2011;284.0;-4.2
8;3;1;2011;344.0;-3.9
9;3;1;2011;393.5;-3.9
