Datum;Sat;Temp;Potrosnja
26.12.2004;1;20;12828
26.12.2004;2;20;12291
26.12.2004;3;19;12066
26.12.2004;4;20;11987
26.12.2004;5;20;12067
26.12.2004;6;20;12368
26.12.2004;7;20;12964
26.12.2004;8;20;13682
26.12.2004;9;21;14692
26.12.2004;10;22;15683
26.12.2004;11;23;16272
26.12.2004;12;23;16600
26.12.2004;13;23;16712
26.12.2004;14;23;16668
26.12.2004;15;24;16630
26.12.2004;16;23;16923
26.12.2004;17;23;18275
26.12.2004;18;23;19161
26.12.2004;19;25;19031
26.12.2004;20;24;18657
26.12.2004;21;23;17952
26.12.2004;22;23;16917
26.12.2004;23;22;15578
26.12.2004;24;21;14312
27.12.2004;1;21;13322
27.12.2004;2;20;12831
27.12.2004;3;20;12636
27.12.2004;4;20;12636
27.12.2004;5;20;12904
27.12.2004;6;20;13783
27.12.2004;7;19;15112
27.12.2004;8;19;16122
27.12.2004;9;20;17063
27.12.2004;10;20;17758
27.12.2004;11;20;18094
27.12.2004;12;20;18120
27.12.2004;13;21;17960
27.12.2004;14;21;17790
27.12.2004;15;20;17627
27.12.2004;16;19;17709
27.12.2004;17;18;19141
27.12.2004;18;16;20791
27.12.2004;19;15;20789
27.12.2004;20;14;20293
27.12.2004;21;13;19565
27.12.2004;22;13;18514
27.12.2004;23;12;16961
27.12.2004;24;10;15512
28.12.2004;1;10;14536
28.12.2004;2;9;14032
28.12.2004;3;9;13834
28.12.2004;4;8;13847
28.12.2004;5;7;14138
28.12.2004;6;7;15001
28.12.2004;7;8;16543
28.12.2004;8;7;17681
28.12.2004;9;8;18372
28.12.2004;10;12;18715
28.12.2004;11;17;18766
28.12.2004;12;19;18616
28.12.2004;13;22;18296
28.12.2004;14;24;18088
28.12.2004;15;24;17957
28.12.2004;16;25;18052
28.12.2004;17;25;19410
28.12.2004;18;25;20532
28.12.2004;19;25;20344
28.12.2004;20;25;19778
28.12.2004;21;24;18994
28.12.2004;22;25;17877
28.12.2004;23;25;16270
28.12.2004;24;26;14726
29.12.2004;1;26;13675
29.12.2004;2;27;13057
29.12.2004;3;27;12786
29.12.2004;4;28;12688
29.12.2004;5;28;12880
29.12.2004;6;28;13697
29.12.2004;7;29;15165
29.12.2004;8;29;16392
29.12.2004;9;29;17138
29.12.2004;10;30;17631
29.12.2004;11;32;17794
29.12.2004;12;34;17684
29.12.2004;13;36;17399
29.12.2004;14;38;17168
29.12.2004;15;39;17008
29.12.2004;16;38;17059
29.12.2004;17;38;18268
29.12.2004;18;37;19436
29.12.2004;19;36;19199
29.12.2004;20;36;18625
29.12.2004;21;34;17977
29.12.2004;22;34;16913
29.12.2004;23;34;15362
29.12.2004;24;33;13837
30.12.2004;1;33;12749
30.12.2004;2;33;12198
30.12.2004;3;32;11937
30.12.2004;4;32;11870
30.12.2004;5;31;12116
30.12.2004;6;31;12977
30.12.2004;7;30;14487
30.12.2004;8;29;15761
30.12.2004;9;28;16560
30.12.2004;10;29;17015
30.12.2004;11;33;17099
30.12.2004;12;35;16929
30.12.2004;13;36;16592
30.12.2004;14;37;16303
30.12.2004;15;38;16060
30.12.2004;16;37;16066
30.12.2004;17;36;17388
30.12.2004;18;34;18881
30.12.2004;19;32;18784
30.12.2004;20;31;18342
30.12.2004;21;30;17744
30.12.2004;22;29;16818
30.12.2004;23;27;15430
30.12.2004;24;27;13980
31.12.2004;1;27;12840
31.12.2004;2;26;12234
31.12.2004;3;27;11912
31.12.2004;4;28;11781
31.12.2004;5;30;11876
31.12.2004;6;30;12398
31.12.2004;7;31;13333
31.12.2004;8;32;14152
31.12.2004;9;35;15110
31.12.2004;10;36;15883
31.12.2004;11;39;16278
31.12.2004;12;40;16273
31.12.2004;13;41;16044
31.12.2004;14;43;15780
31.12.2004;15;44;15507
31.12.2004;16;45;15525
31.12.2004;17;45;16754
31.12.2004;18;44;17883
31.12.2004;19;44;17411
31.12.2004;20;44;16503
31.12.2004;21;44;15648
31.12.2004;22;44;14901
31.12.2004;23;44;13962
31.12.2004;24;45;13127
1.1.2005;1;44;12231
1.1.2005;2;44;11480
1.1.2005;3;43;10941
1.1.2005;4;41;10665
1.1.2005;5;42;10599
1.1.2005;6;40;10795
1.1.2005;7;40;11207
1.1.2005;8;41;11540
1.1.2005;9;41;12248
1.1.2005;10;45;13049
1.1.2005;11;48;13649
1.1.2005;12;49;14002
1.1.2005;13;49;14003
1.1.2005;14;48;13800
1.1.2005;15;46;13611
1.1.2005;16;45;13732
1.1.2005;17;43;15009
1.1.2005;18;40;16473
1.1.2005;19;39;16452
1.1.2005;20;38;16108
1.1.2005;21;36;15656
1.1.2005;22;35;14980
1.1.2005;23;35;14014
1.1.2005;24;34;12949
2.1.2005;1;32;11998
2.1.2005;2;30;11471
2.1.2005;3;30;11215
2.1.2005;4;29;11151
2.1.2005;5;28;11246
2.1.2005;6;27;11548
2.1.2005;7;26;12182
2.1.2005;8;25;12804
2.1.2005;9;26;13725
2.1.2005;10;28;14515
2.1.2005;11;30;14948
2.1.2005;12;31;15161
2.1.2005;13;32;15258
2.1.2005;14;33;15207
2.1.2005;15;34;15207
2.1.2005;16;34;15554
2.1.2005;17;35;17016
2.1.2005;18;34;18119
2.1.2005;19;34;17864
2.1.2005;20;34;17400
2.1.2005;21;35;16637
2.1.2005;22;36;15456
2.1.2005;23;36;14056
2.1.2005;24;38;12687
3.1.2005;1;40;11744
3.1.2005;2;41;11263
3.1.2005;3;42;11027
3.1.2005;4;43;10950
3.1.2005;5;44;11209
3.1.2005;6;44;12279
3.1.2005;7;44;14415
3.1.2005;8;44;15767
3.1.2005;9;44;16098
3.1.2005;10;45;16284
3.1.2005;11;46;16447
3.1.2005;12;48;16437
3.1.2005;13;49;16312
3.1.2005;14;50;16224
3.1.2005;15;50;16113
3.1.2005;16;49;16356
3.1.2005;17;48;17652
3.1.2005;18;47;18696
3.1.2005;19;47;18447
3.1.2005;20;46;17874
3.1.2005;21;44;17054
3.1.2005;22;44;15787
3.1.2005;23;43;14137
3.1.2005;24;42;12695
4.1.2005;1;41;11702
4.1.2005;2;41;11219
4.1.2005;3;41;11019
4.1.2005;4;40;10996
4.1.2005;5;39;11320
4.1.2005;6;39;12448
4.1.2005;7;38;14722
4.1.2005;8;38;16302
4.1.2005;9;39;16564
4.1.2005;10;39;16710
4.1.2005;11;40;16786
4.1.2005;12;41;16680
4.1.2005;13;42;16553
4.1.2005;14;44;16517
4.1.2005;15;43;16422
4.1.2005;16;43;16567
4.1.2005;17;42;17755
4.1.2005;18;40;18938
4.1.2005;19;39;18790
4.1.2005;20;39;18296
4.1.2005;21;39;17516
4.1.2005;22;38;16291
4.1.2005;23;37;14636
4.1.2005;24;37;13101
5.1.2005;1;37;12086
5.1.2005;2;36;11611
5.1.2005;3;35;11419
5.1.2005;4;35;11410
5.1.2005;5;34;11712
5.1.2005;6;34;12935
5.1.2005;7;34;15282
5.1.2005;8;33;16837
5.1.2005;9;32;17151
5.1.2005;10;31;17379
5.1.2005;11;31;17660
5.1.2005;12;30;17742
5.1.2005;13;30;17704
5.1.2005;14;31;17731
5.1.2005;15;30;17616
5.1.2005;16;31;17699
5.1.2005;17;30;18856
5.1.2005;18;30;19966
5.1.2005;19;29;19790
5.1.2005;20;29;19252
5.1.2005;21;28;18429
5.1.2005;22;27;17170
5.1.2005;23;26;15567
5.1.2005;24;26;14056
6.1.2005;1;25;13086
6.1.2005;2;24;12631
6.1.2005;3;24;12506
6.1.2005;4;23;12509
6.1.2005;5;23;12861
6.1.2005;6;23;13952
6.1.2005;7;24;15790
6.1.2005;8;24;17006
6.1.2005;9;25;17655
6.1.2005;10;26;18190
6.1.2005;11;26;18502
6.1.2005;12;28;18769
6.1.2005;13;28;18807
6.1.2005;14;29;18742
6.1.2005;15;29;18570
6.1.2005;16;30;18567
6.1.2005;17;30;19516
6.1.2005;18;31;20314
6.1.2005;19;31;19988
6.1.2005;20;31;19282
6.1.2005;21;31;18317
6.1.2005;22;32;16936
6.1.2005;23;31;15240
6.1.2005;24;30;13798
7.1.2005;1;31;12813
7.1.2005;2;32;12306
7.1.2005;3;32;12067
7.1.2005;4;32;12026
7.1.2005;5;33;12312
7.1.2005;6;33;13468
7.1.2005;7;33;15682
7.1.2005;8;32;16995
7.1.2005;9;33;17122
7.1.2005;10;33;17157
7.1.2005;11;33;17172
7.1.2005;12;33;17097
7.1.2005;13;34;16907
7.1.2005;14;34;16797
7.1.2005;15;34;16591
7.1.2005;16;34;16612
7.1.2005;17;33;17647
7.1.2005;18;32;18801
7.1.2005;19;31;18618
7.1.2005;20;30;18105
7.1.2005;21;29;17487
7.1.2005;22;28;16594
7.1.2005;23;26;15342
7.1.2005;24;26;14064
8.1.2005;1;25;13022
8.1.2005;2;26;12433
8.1.2005;3;26;12102
8.1.2005;4;26;11967
8.1.2005;5;27;12024
8.1.2005;6;27;12400
8.1.2005;7;28;13160
