RadniDan;Mjesec;PrijasnjaPotrosnja;Potrosnja
0;12;19031;18657
1;12;20789;20293
1;12;20344;19778
1;12;19199;18625
1;12;18784;18342
0;12;17411;16503
0;1;16452;16108
0;1;17864;17400
1;1;18447;17874
1;1;18790;18296
1;1;19790;19252
1;1;19988;19282
1;1;18618;18105
0;1;18172;17529
0;1;18071;17616
1;1;19409;18909
1;1;19712;19205
1;1;19538;18953
1;1;18821;18297
1;1;18372;17793
0;1;17930;17458
0;1;18278;17700
0;1;20803;20343
1;1;22141;21727
1;1;21364;20845
1;1;20720;20362
1;1;21273;20810
0;1;20695;19940
0;1;20563;19819
1;1;21177;20630
1;1;20587;20203
1;1;21177;20636
1;1;21520;21210
1;1;20555;20083
0;1;18535;18046
0;1;18404;18085
1;1;20224;19854
1;2;19887;19563
1;2;19771;19430
1;2;19538;18992
1;2;18334;17859
0;2;16682;16363
0;2;16720;16007
1;2;18702;18285
1;2;18720;18246
1;2;18369;17922
1;2;19468;18894
1;2;18745;18222
0;2;17281;16824
0;2;17675;17460
1;2;19363;18844
1;2;18315;17949
1;2;18591;18146
1;2;18960;18624
1;2;19161;18776
0;2;17941;17614
0;2;17538;17286
0;2;19310;18693
1;2;19039;18567
1;2;19047;18738
1;2;19627;19242
1;2;18759;18317
0;2;17385;17060
0;2;17929;17759
1;2;19745;19244
1;3;19493;19005
1;3;19441;19092
1;3;19672;19439
1;3;18651;18252
0;3;16898;16670
0;3;17413;17155
1;3;18447;18069
1;3;19986;19653
1;3;20178;19983
1;3;19455;19342
1;3;18884;18418
0;3;17582;17202
0;3;17091;17091
1;3;18701;18597
1;3;18332;18223
1;3;18174;18151
1;3;17979;17938
1;3;17169;17045
0;3;15780;15776
0;3;16552;16468
1;3;18227;18114
1;3;17396;17499
1;3;18601;18337
1;3;17896;17886
1;3;16715;16632
0;3;15922;16045
0;3;14670;15268
1;3;18740;18405
1;3;17713;17722
1;3;17093;17293
1;3;17127;17277
1;4;16253;16299
0;4;16105;15834
0;4;15036;15836
1;4;16252;16925
1;4;15244;16165
1;4;15128;16027
1;4;15666;16385
1;4;14559;15076
0;4;13186;13875
0;4;13474;14320
1;4;15477;16159
1;4;15981;16553
1;4;15220;15945
1;4;15052;15729
1;4;14372;14935
0;4;13041;13673
0;4;13063;13718
1;4;14854;15292
1;4;15190;15519
1;4;15910;16249
1;4;14695;15047
1;4;14522;14950
0;4;14489;14631
0;4;13562;14027
1;4;15534;15879
1;4;14977;15309
1;4;16407;16466
1;4;15285;15633
1;4;14465;14597
0;4;14693;14714
0;5;13619;14038
1;5;15611;15932
1;5;15147;15416
1;5;15278;15482
1;5;14870;15127
1;5;14916;15080
0;5;14277;14524
0;5;13567;14028
1;5;15296;15450
1;5;15225;15315
1;5;15625;15683
1;5;14936;14997
1;5;14353;14335
0;5;13306;13388
0;5;13999;14289
1;5;15314;15387
1;5;15202;15273
1;5;15194;15273
1;5;14995;14976
1;5;14499;14406
0;5;13640;13763
0;5;13790;13982
1;5;16037;16107
1;5;16450;16444
1;5;16651;16601
1;5;16090;16028
1;5;14983;15024
0;5;13488;13566
0;5;13265;13244
0;5;13877;14023
1;5;15807;15753
1;6;15597;15506
1;6;16015;15782
1;6;15721;15536
0;6;15688;15512
0;6;17381;17333
1;6;18003;17705
1;6;20364;19869
1;6;21350;20819
1;6;21253;20567
1;6;20484;19836
0;6;20191;19690
0;6;20529;20407
1;6;24384;23830
1;6;20371;19748
1;6;16449;16352
1;6;16276;16303
1;6;15903;15634
0;6;14371;14291
0;6;13834;13911
1;6;17415;16951
1;6;19147;18597
1;6;17632;17232
1;6;17345;16894
1;6;19578;18904
0;6;21371;20701
0;6;21658;21119
1;6;22983;22303
1;6;21253;20984
1;6;20725;20295
1;6;20508;20012
1;7;19355;18844
0;7;17100;16582
0;7;15393;14880
0;7;16143;15692
1;7;20869;20300
1;7;18836;18362
1;7;16784;16523
1;7;16202;15871
0;7;15697;15396
0;7;18757;18445
1;7;23544;22817
1;7;20382;19445
1;7;19161;18747
1;7;22019;21479
1;7;21970;21150
0;7;20071;19491
0;7;19791;19627
1;7;23377;23051
1;7;24458;23842
1;7;24070;23218
1;7;23076;22350
1;7;23650;22805
0;7;18371;17752
0;7;18117;17696
1;7;22757;22187
1;7;24752;24052
1;7;24531;23407
1;7;18986;18371
1;7;19590;19057
0;7;17942;17503
0;7;16683;16525
1;8;20879;20388
1;8;23330;22682
1;8;23556;22798
1;8;23298;22472
1;8;22455;21774
0;8;18673;18115
0;8;19306;18914
1;8;23245;22894
1;8;22350;21821
1;8;23774;23056
1;8;23938;23258
1;8;22524;22166
0;8;23310;22871
0;8;20350;20169
1;8;18446;18221
1;8;18586;18269
1;8;20019;19447
1;8;18140;17946
1;8;17225;17108
0;8;17661;17666
0;8;20618;20409
1;8;20717;20139
1;8;18466;18317
1;8;17540;17423
1;8;18180;18039
1;8;18583;18274
0;8;17255;17108
0;8;18111;18511
1;8;21758;21913
1;8;20787;21112
1;8;22451;22699
1;9;20501;20372
1;9;19832;19611
0;9;16571;16643
0;9;15502;15722
0;9;15967;16457
1;9;17944;18210
1;9;18638;18929
1;9;19187;19584
1;9;17078;17299
0;9;14940;15396
0;9;15149;15925
1;9;20875;21348
1;9;21170;21604
1;9;21621;22117
1;9;20366;20788
1;9;18274;18453
0;9;16915;17245
0;9;16466;17177
1;9;18785;19318
1;9;19019;19614
1;9;18365;18971
1;9;18594;19126
1;9;17920;18143
0;9;14566;15126
0;9;15225;15749
1;9;18465;18592
1;9;16946;17590
1;9;16708;17355
1;9;16809;17142
1;9;15722;16150
0;10;14633;15117
0;10;15434;16090
1;10;17492;17824
1;10;17753;18161
