Sat;RadniDan;Mjesec;PrijasnjaPotrosnja;Potrosnja
0;1;12;12160;11267
1;1;12;11267;10684
2;1;12;10684;10398
3;0;12;10398;10293
4;0;12;10293;10432
5;1;12;10432;10857
6;1;12;10857;11584
7;1;12;11584;12365
8;1;12;12365;13438
9;1;12;13438;14530
10;0;12;14530;15301
11;0;12;15301;15680
12;1;12;15680;15691
13;1;12;15691;15486
14;1;12;15486;15366
15;1;12;15366;15644
16;1;12;15644;16901
17;0;12;16901;17748
18;0;12;17748;17636
19;1;12;17636;17267
20;1;12;17267;16725
21;1;12;16725;15838
22;1;12;15838;14567
23;1;12;14567;13303
0;0;12;13303;12297
1;0;12;12297;11788
2;1;12;11788;11606
3;1;12;11606;11613
4;1;12;11613;11945
5;1;12;11945;12911
6;1;12;12911;14442
7;0;12;14442;15715
8;0;12;15715;16564
9;1;12;16564;17086
10;1;12;17086;17295
11;1;12;17295;17267
12;1;12;17267;17010
13;1;12;17010;16789
14;0;12;16789;16539
15;0;12;16539;16574
16;1;12;16574;17944
17;1;12;17944;19397
18;1;12;19397;19317
19;1;12;19317;18823
20;1;12;18823;18127
21;0;12;18127;17051
22;0;12;17051;15528
23;1;12;15528;14005
0;1;12;14005;12942
1;1;12;12942;12398
2;1;12;12398;12178
3;1;12;12178;12201
4;0;12;12201;12471
5;0;12;12471;13425
6;1;12;13425;14951
7;1;12;14951;16165
8;1;12;16165;16897
9;1;12;16897;17229
10;1;12;17229;17347
11;0;12;17347;17235
12;0;12;17235;16978
13;1;12;16978;16799
14;1;12;16799;16625
15;1;12;16625;16738
16;1;12;16738;18029
17;1;12;18029;19215
18;0;12;19215;18967
19;0;12;18967;18367
20;1;12;18367;17675
21;1;12;17675;16503
22;1;12;16503;14955
23;1;12;14955;13437
0;1;12;13437;12268
1;0;12;12268;11625
2;0;12;11625;11310
3;1;12;11310;11182
4;1;12;11182;11385
5;1;12;11385;12200
6;1;12;12200;13711
7;1;12;13711;15091
8;0;12;15091;15984
9;0;12;15984;16668
10;1;12;16668;17069
11;1;12;17069;17246
12;1;12;17246;17145
13;1;12;17145;17052
14;1;12;17052;16909
15;0;12;16909;17028
16;0;12;17028;17966
17;1;12;17966;18687
18;1;12;18687;18350
19;1;12;18350;17728
20;1;12;17728;16969
21;1;12;16969;15886
22;0;12;15886;14401
23;0;12;14401;12890
0;1;12;12890;11816
1;1;12;11816;11207
2;1;12;11207;10932
3;1;12;10932;10862
4;1;12;10862;11102
5;0;12;11102;11952
6;0;12;11952;13404
7;1;12;13404;14721
8;1;12;14721;15681
9;1;12;15681;16316
10;1;12;16316;16593
11;1;12;16593;16557
12;0;12;16557;16327
13;0;12;16327;16086
14;1;12;16086;15883
15;1;12;15883;15919
16;1;12;15919;17161
17;1;12;17161;18474
18;1;12;18474;18306
19;0;12;18306;17816
20;0;12;17816;17260
21;1;12;17260;16456
22;1;12;16456;15311
23;1;12;15311;13948
0;1;12;13948;12901
1;1;12;12901;12321
2;0;12;12321;12062
3;0;12;12062;11940
4;1;12;11940;11997
5;1;12;11997;12389
6;1;12;12389;13096
7;1;12;13096;13856
8;1;12;13856;14950
9;0;12;14950;15960
10;0;12;15960;16473
11;1;12;16473;16536
12;1;12;16536;16382
13;1;12;16382;16123
14;1;12;16123;16075
15;1;12;16075;16467
16;0;12;16467;17765
17;0;12;17765;18569
18;1;12;18569;18189
19;1;12;18189;17397
20;1;12;17397;16666
21;1;12;16666;15890
22;1;12;15890;15133
23;0;12;15133;14269
0;0;1;14269;13302
1;1;1;13302;12538
2;1;1;12538;12070
3;1;1;12070;11776
4;1;1;11776;11714
5;1;1;11714;11870
6;0;1;11870;12258
7;0;1;12258;12696
8;1;1;12696;13452
9;1;1;13452;14271
10;1;1;14271;14915
11;1;1;14915;15277
12;1;1;15277;15474
13;0;1;15474;15354
14;0;1;15354;15183
15;1;1;15183;15301
16;1;1;15301;16523
17;1;1;16523;17661
18;1;1;17661;17511
19;1;1;17511;17061
20;0;1;17061;16514
21;0;1;16514;15608
22;1;1;15608;14469
23;1;1;14469;13257
0;1;1;13257;12275
1;1;1;12275;11760
2;1;1;11760;11505
3;0;1;11505;11449
4;0;1;11449;11646
5;1;1;11646;12136
6;1;1;12136;13006
7;1;1;13006;13764
8;1;1;13764;14616
9;1;1;14616;15440
10;0;1;15440;15967
11;0;1;15967;16100
12;1;1;16100;15967
13;1;1;15967;15727
14;1;1;15727;15596
15;1;1;15596;15908
16;1;1;15908;17384
17;0;1;17384;18699
18;0;1;18699;18540
19;1;1;18540;18071
20;1;1;18071;17320
21;1;1;17320;16140
22;1;1;16140;14591
23;1;1;14591;13224
0;0;1;13224;12307
1;0;1;12307;11900
2;1;1;11900;11713
3;1;1;11713;11712
4;1;1;11712;12060
5;1;1;12060;13204
6;1;1;13204;15149
7;0;1;15149;16502
8;0;1;16502;17074
9;1;1;17074;17571
10;1;1;17571;18016
11;1;1;18016;18242
12;1;1;18242;18269
13;1;1;18269;18196
14;0;1;18196;18006
15;0;1;18006;18059
16;1;1;18059;19104
17;1;1;19104;20258
18;1;1;20258;20017
19;1;1;20017;19437
20;1;1;19437;18572
21;0;1;18572;17223
22;0;1;17223;15502
23;1;1;15502;14017
0;1;1;14017;13113
1;1;1;13113;12628
2;1;1;12628;12419
3;1;1;12419;12414
4;0;1;12414;12787
5;0;1;12787;14032
6;1;1;14032;16328
7;1;1;16328;17620
8;1;1;17620;17790
9;1;1;17790;17806
10;1;1;17806;17801
11;0;1;17801;17730
12;0;1;17730;17490
13;1;1;17490;17386
14;1;1;17386;17310
15;1;1;17310;17563
16;1;1;17563;18774
17;1;1;18774;19914
18;0;1;19914;19765
19;0;1;19765;19237
20;1;1;19237;18486
21;1;1;18486;17259
22;1;1;17259;15510
23;1;1;15510;13965
0;1;1;13965;12977
1;0;1;12977;12413
2;0;1;12413;12175
3;1;1;12175;12141
4;1;1;12141;12462
5;1;1;12462;13589
6;1;1;13589;15830
7;1;1;15830;17373
8;0;1;17373;17643
9;0;1;17643;17818
10;1;1;17818;18012
11;1;1;18012;18016
12;1;1;18016;17792
13;1;1;17792;17539
14;1;1;17539;17243
15;0;1;17243;17265
16;0;1;17265;18227
17;1;1;18227;19529
18;1;1;19529;19418
19;1;1;19418;18922
20;1;1;18922;18147
21;1;1;18147;16886
22;0;1;16886;15212
23;0;1;15212;13687
0;1;1;13687;12677
1;1;1;12677;12133
2;1;1;12133;11898
3;1;1;11898;11870
4;1;1;11870;12161
5;0;1;12161;13310
6;0;1;13310;15535
7;1;1;15535;16927
8;1;1;16927;17176
9;1;1;17176;17370
10;1;1;17370;17491
11;1;1;17491;17490
12;0;1;17490;17304
13;0;1;17304;17231
14;1;1;17231;17137
15;1;1;17137;17242
16;1;1;17242;18205
17;1;1;18205;19117
18;1;1;19117;18842
19;0;1;18842;18243
20;0;1;18243;17552
21;1;1;17552;16662
22;1;1;16662;15427
23;1;1;15427;14128
0;1;1;14128;13149
1;1;1;13149;12588
2;0;1;12588;12342
3;0;1;12342;12256
4;1;1;12256;12387
5;1;1;12387;12872
