Sat;DanUTjednu;Mjesec;Temperatura;Potrosnja
0;6;1;-4.2;171.25
1;6;1;-4.5;171.0
2;6;1;-4.8;171.5
3;6;1;-4.6;171.5
4;6;1;-4.8;163.5
5;6;1;-5.0;156.5
6;6;1;-5.1;157.25
7;6;1;-5.1;153.0
8;6;1;-5.0;147.75
9;6;1;-5.0;145.75
10;6;1;-5.0;146.5
11;6;1;-4.9;150.25
12;6;1;-4.8;150.25
13;6;1;-4.6;158.5
14;6;1;-4.3;158.0
15;6;1;-4.2;158.25
16;6;1;-4.2;162.5
17;6;1;-4.2;164.25
18;6;1;-4.1;165.0
19;6;1;-4.0;167.0
20;6;1;-4.2;169.0
21;6;1;-4.0;165.75
22;6;1;-3.9;163.0
23;6;1;-3.5;161.75
0;7;1;-3.2;162.0
1;7;1;-3.0;162.75
2;7;1;-3.1;161.25
3;7;1;-3.2;159.75
4;7;1;-2.9;158.0
5;7;1;-2.9;160.25
6;7;1;-2.9;163.0
7;7;1;-2.8;161.25
8;7;1;-2.0;161.75
9;7;1;-1.9;160.0
10;7;1;-1.5;167.25
11;7;1;-1.1;173.0
12;7;1;-0.9;171.0
13;7;1;-0.7;172.25
14;7;1;-0.5;170.75
15;7;1;-0.7;172.25
16;7;1;-0.7;179.25
17;7;1;-0.5;184.5
18;7;1;-0.4;184.5
19;7;1;-0.7;184.25
20;7;1;-1.4;178.0
21;7;1;-2.3;174.0
22;7;1;-2.4;176.5
23;7;1;-3.2;171.5
0;1;1;-4.0;169.5
1;1;1;-4.2;167.5
2;1;1;-5.2;166.25
3;1;1;-7.2;165.5
4;1;1;-7.5;165.5
5;1;1;-6.2;172.75
6;1;1;-5.4;224.5
7;1;1;-4.2;284.0
8;1;1;-3.9;344.0
9;1;1;-3.9;393.5
10;1;1;-3.3;419.25
11;1;1;-2.9;412.25
12;1;1;-2.4;415.25
13;1;1;-2.5;403.75
14;1;1;-2.4;405.75
15;1;1;-2.5;406.5
16;1;1;-2.0;380.0
17;1;1;-1.9;348.5
18;1;1;-1.9;321.25
19;1;1;-2.0;271.0
20;1;1;-2.9;219.0
21;1;1;-5.8;205.0
22;1;1;-6.5;187.5
23;1;1;-4.9;181.0
0;2;1;-4.6;178.75
1;2;1;-4.2;178.0
2;2;1;-3.9;179.0
3;2;1;-3.6;178.75
4;2;1;-3.6;179.25
5;2;1;-3.8;183.5
6;2;1;-3.8;228.25
7;2;1;-2.9;276.5
8;2;1;-2.8;363.0
9;2;1;-2.9;436.0
10;2;1;-2.9;446.25
11;2;1;-2.9;451.5
12;2;1;-2.4;440.0
13;2;1;-1.7;423.75
14;2;1;-1.7;408.25
15;2;1;-2.8;402.0
16;2;1;-3.7;387.0
17;2;1;-4.7;355.75
18;2;1;-3.7;323.5
19;2;1;-2.8;263.0
20;2;1;-2.8;230.25
21;2;1;-2.8;202.75
22;2;1;-2.8;180.75
23;2;1;-3.0;175.0
0;3;1;-3.2;174.0
1;3;1;-3.0;172.25
2;3;1;-3.1;175.0
3;3;1;-3.2;176.0
4;3;1;-3.3;175.75
5;3;1;-3.3;182.0
6;3;1;-3.3;222.5
7;3;1;-3.4;273.25
8;3;1;-2.9;369.5
9;3;1;-2.8;407.5
10;3;1;-2.5;423.333333333
11;3;1;-2.2;436.5
12;3;1;-1.9;433.25
13;3;1;-1.8;426.25
14;3;1;-1.7;422.75
15;3;1;-1.8;413.25
16;3;1;-1.8;393.5
17;3;1;-2.0;362.25
18;3;1;-2.1;330.25
19;3;1;-2.2;267.5
20;3;1;-2.5;230.75
21;3;1;-3.2;201.5
22;3;1;-4.0;180.25
23;3;1;-4.1;175.25
0;4;1;-3.9;168.75
1;4;1;-3.5;168.5
2;4;1;-3.9;168.0
3;4;1;-4.1;167.75
4;4;1;-3.8;168.5
5;4;1;-3.6;169.0
6;4;1;-3.5;167.0
7;4;1;-3.2;165.75
8;4;1;-2.4;177.25
9;4;1;-1.5;176.25
10;4;1;-0.1;178.25
11;4;1;0.4;182.75
12;4;1;1.3;186.25
13;4;1;2.0;187.25
14;4;1;2.1;186.75
15;4;1;2.4;194.75
16;4;1;4.0;198.25
17;4;1;3.8;197.75
18;4;1;2.7;197.0
19;4;1;2.3;195.25
20;4;1;2.6;185.25
21;4;1;3.8;179.25
22;4;1;3.9;176.25
23;4;1;4.9;177.75
0;5;1;5.0;176.0
1;5;1;5.0;175.25
2;5;1;5.4;175.0
3;5;1;5.9;173.5
4;5;1;6.8;173.75
5;5;1;7.6;173.5
6;5;1;8.2;192.25
7;5;1;8.1;195.75
8;5;1;9.3;214.75
9;5;1;9.7;225.75
10;5;1;11.3;236.0
11;5;1;12.9;235.75
12;5;1;13.2;233.0
13;5;1;12.9;232.75
14;5;1;13.1;233.25
15;5;1;12.5;227.5
16;5;1;12.0;237.5
17;5;1;11.8;230.75
18;5;1;11.6;216.0
19;5;1;11.0;206.25
20;5;1;11.3;194.0
21;5;1;11.6;183.75
22;5;1;11.1;175.5
23;5;1;11.4;170.0
0;6;1;11.0;173.75
1;6;1;10.9;172.0
2;6;1;11.1;171.75
3;6;1;11.1;170.25
4;6;1;11.4;170.5
5;6;1;11.6;168.0
6;6;1;10.6;171.75
7;6;1;11.1;170.75
8;6;1;11.6;169.75
9;6;1;12.1;171.75
10;6;1;12.5;178.75
11;6;1;13.0;180.25
12;6;1;13.1;181.0
13;6;1;13.9;179.75
14;6;1;14.4;185.5
15;6;1;13.9;189.0
16;6;1;12.8;193.75
17;6;1;12.6;202.25
18;6;1;12.2;198.5
19;6;1;12.0;198.25
20;6;1;11.9;193.25
21;6;1;11.0;183.75
22;6;1;10.6;172.75
23;6;1;9.8;168.75
0;7;1;9.2;167.75
1;7;1;9.7;165.0
2;7;1;9.0;166.5
3;7;1;9.4;166.25
4;7;1;8.9;165.75
5;7;1;8.1;166.0
6;7;1;6.1;166.75
7;7;1;5.3;164.25
8;7;1;9.3;163.0
9;7;1;12.3;166.75
10;7;1;14.1;171.0
11;7;1;15.4;172.0
12;7;1;15.8;176.75
13;7;1;15.9;177.75
14;7;1;15.2;178.0
15;7;1;14.2;176.5
16;7;1;13.0;183.0
17;7;1;11.7;192.75
18;7;1;11.7;194.25
19;7;1;12.4;192.75
20;7;1;11.6;190.0
21;7;1;11.6;180.5
22;7;1;8.7;171.0
23;7;1;6.6;167.5
0;1;1;5.5;166.0
1;1;1;5.4;168.0
2;1;1;4.9;165.5
3;1;1;4.8;165.25
4;1;1;4.9;166.0
5;1;1;5.0;171.5
6;1;1;5.1;214.75
7;1;1;4.9;266.5
8;1;1;5.7;366.5
9;1;1;6.5;448.0
10;1;1;8.6;467.5
11;1;1;10.1;459.5
12;1;1;11.1;492.75
13;1;1;11.5;489.5
14;1;1;11.1;466.0
15;1;1;10.1;451.75
16;1;1;9.7;403.75
17;1;1;8.4;346.5
18;1;1;7.2;300.75
19;1;1;6.4;254.0
20;1;1;6.5;220.25
21;1;1;5.9;203.5
22;1;1;4.9;187.25
23;1;1;4.7;185.0
0;2;1;3.7;182.5
1;2;1;3.8;174.75
2;2;1;4.2;176.25
3;2;1;4.1;178.0
4;2;1;3.8;176.5
5;2;1;3.7;184.5
6;2;1;3.6;229.0
7;2;1;3.7;278.5
8;2;1;3.5;355.25
9;2;1;3.7;446.5
10;2;1;3.8;482.5
11;2;1;4.1;493.25
12;2;1;4.1;486.25
13;2;1;4.3;495.0
14;2;1;4.3;491.25
15;2;1;4.2;458.25
16;2;1;4.2;416.25
17;2;1;4.1;369.0
18;2;1;4.1;322.25
19;2;1;4.1;281.0
20;2;1;4.1;244.0
21;2;1;4.1;219.0
22;2;1;4.1;199.25
23;2;1;4.1;191.5
0;3;1;4.1;NaN
1;3;1;4.2;NaN
2;3;1;4.3;NaN
3;3;1;4.2;NaN
4;3;1;4.1;NaN
5;3;1;4.1;NaN
6;3;1;4.1;NaN
7;3;1;4.2;NaN
8;3;1;4.7;NaN
9;3;1;4.7;441.5
10;3;1;4.9;458.25
11;3;1;5.1;476.25
12;3;1;6.6;472.5
13;3;1;6.8;NaN
14;3;1;7.0;NaN
15;3;1;6.3;413.0
16;3;1;5.3;375.25
17;3;1;3.0;341.0
18;3;1;1.8;323.25
19;3;1;1.0;284.75
20;3;1;0.5;225.5
21;3;1;1.1;204.25
22;3;1;4.0;186.25
23;3;1;3.7;181.25
0;4;1;3.7;182.25
1;4;1;3.6;177.5
2;4;1;3.7;177.25
3;4;1;3.3;179.5
4;4;1;3.2;178.5
5;4;1;3.3;192.5
6;4;1;3.2;241.0
7;4;1;3.4;312.5
8;4;1;4.0;374.75
9;4;1;4.2;427.0
10;4;1;4.4;433.0
11;4;1;5.3;438.666666667
12;4;1;8.3;419.75
13;4;1;10.4;402.25
14;4;1;10.1;409.0
15;4;1;9.9;441.5
16;4;1;9.0;397.5
17;4;1;7.1;358.5
18;4;1;6.9;344.5
19;4;1;7.0;291.25
20;4;1;6.6;240.5
21;4;1;6.3;220.5
22;4;1;6.4;199.0
23;4;1;6.0;186.75
0;5;1;5.9;176.75
1;5;1;5.8;172.0
2;5;1;5.8;172.0
3;5;1;5.5;173.25
4;5;1;4.1;171.75
5;5;1;3.6;180.75
6;5;1;3.4;218.0
7;5;1;3.2;254.5
