Praznik;Mjesec;Temperatura;PotrosnjaPrije1h;PotrosnjaPrije2h;Potrosnja
1;1;-4.5;171.25;169;171.0
1;1;-3.0;162.0;NaN;162.75
0;1;-4.2;169.5;NaN;167.5
0;1;-4.2;178.75;NaN;178.0
0;1;-3.0;174.0;NaN;172.25
1;1;-3.5;168.75;NaN;168.5
0;1;5.0;176.0;NaN;175.25
1;1;10.9;173.75;NaN;172.0
1;1;9.7;167.75;NaN;165.0
0;1;5.4;166.0;NaN;168.0
0;1;3.8;182.5;NaN;174.75
0;1;4.2;NaN;NaN;NaN
0;1;3.6;182.25;NaN;177.5
0;1;5.8;176.75;NaN;172.0
1;1;2.0;185.5;NaN;182.25
1;1;1.8;160.0;NaN;160.5
0;1;0.6;159.5;NaN;158.75
0;1;0.6;180.25;NaN;177.25
0;1;-0.8;178.75;NaN;174.75
0;1;3.1;183.0;NaN;174.25
0;1;2.1;175.5;NaN;173.0
1;1;0.5;175.0;NaN;172.75
1;1;-1.6;175.25;NaN;177.5
0;1;-3.2;169.0;NaN;164.5
0;1;-3.6;178.0;NaN;173.0
0;1;-0.7;191.25;NaN;181.5
0;1;1.2;179.5;NaN;174.75
0;1;-0.1;185.75;NaN;174.75
1;1;-1.0;188.0;NaN;183.5
1;1;-1.2;182.75;NaN;177.75
0;1;-1.0;167.0;NaN;167.75
0;2;-2.2;197.75;NaN;189.25
0;2;-3.7;181.5;NaN;181.0
0;2;-2.0;184.5;NaN;183.0
0;2;-4.8;186.75;NaN;183.0
1;2;-2.2;175.0;NaN;173.25
1;2;-2.1;173.25;NaN;174.75
0;2;-0.7;166.0;NaN;168.25
0;2;-0.8;181.0;NaN;178.0
0;2;2.4;181.5;NaN;179.0
0;2;0.0;183.75;NaN;179.5
0;2;-1.0;195.75;NaN;186.75
1;2;8.2;181.0;NaN;179.0
1;2;2.7;187.75;NaN;188.0
0;2;1.2;185.5;NaN;181.5
0;2;0.6;198.0;NaN;192.0
0;2;0.4;202.25;NaN;199.75
0;2;4.3;192.75;NaN;191.25
0;2;3.8;190.0;NaN;184.0
1;2;4.1;186.0;NaN;186.75
1;2;1.9;152.5;NaN;151.75
0;2;0.7;189.5;NaN;185.5
0;2;-2.2;198.5;NaN;191.25
0;2;-2.3;186.25;NaN;180.5
0;2;-7.0;182.25;NaN;176.0
0;2;-6.8;189.0;NaN;184.0
1;2;-1.6;192.25;NaN;190.25
1;2;-2.2;182.25;NaN;184.5
0;2;-1.0;184.75;NaN;182.25
0;3;0.1;195.5;NaN;188.5
0;3;1.0;200.0;NaN;193.25
0;3;-1.8;188.5;NaN;182.25
0;3;0.1;187.5;NaN;184.0
1;3;-0.2;179.0;NaN;182.5
1;3;-2.7;181.076642336;NaN;178.073260073
