Praznik;Mjesec;PrijasnjaPotrosnja;Potrosnja
1;12;146.75;148.5
0;12;211.25;206.25
0;12;203.5;213.75
1;12;206.5;210.75
1;12;210.25;202.25
0;12;170.25;174.25
1;1;158.25;162.5
0;1;172.25;179.25
0;1;406.5;380.0
0;1;402.0;387.0
0;1;413.25;393.5
1;1;194.75;198.25
1;1;227.5;237.5
1;1;189.0;193.75
0;1;176.5;183.0
0;1;451.75;403.75
0;1;458.25;416.25
0;1;413.0;375.25
0;1;441.5;397.5
1;1;422.25;391.5
1;1;166.0;174.0
0;1;162.5;164.0
0;1;431.25;388.0
0;1;386.75;362.75
0;1;464.25;422.0
0;1;471.25;425.5
1;1;449.5;412.75
1;1;205.5;205.5
0;1;183.0;185.25
0;1;388.75;356.5
0;1;406.5;361.5
0;1;428.25;383.0
0;1;415.0;346.5
1;1;445.25;380.25
1;1;192.75;191.5
0;1;190.75;187.0
0;1;414.5;354.5
0;2;393.25;345.75
0;2;397.25;333.5
0;2;356.75;316.25
1;2;333.5;286.25
1;2;181.0;181.25
0;2;180.25;175.25
0;2;365.0;300.75
0;2;345.75;294.25
0;2;372.0;306.75
0;2;326.75;294.75
1;2;331.0;287.5
1;2;200.0;198.75
0;2;182.25;184.25
0;2;476.0;424.5
0;2;489.75;427.5
0;2;452.75;406.5
0;2;462.75;419.25
1;2;443.75;392.5
1;2;158.5;149.5
0;2;185.75;185.25
0;2;443.0;396.0
0;2;435.75;410.5
0;2;402.75;358.0
0;2;382.0;356.25
1;2;352.0;332.5
1;2;190.25;188.25
0;2;195.75;199.0
0;2;468.75;407.5
0;3;449.5;417.0
0;3;439.5;418.25
0;3;447.25;413.5
1;3;413.5;364.0
1;3;199.671532847;195.578754579
0;3;182.151515152;NaN
0;3;403.912408759;365.569343066
0;3;390.8;355.933333333
0;3;431.05859375;360.151750973
0;3;391.6015625;356.26
1;3;395.326848249;355.0078125
1;3;197.682352941;197.25390625
0;3;195.19140625;202.57421875
0;3;418.9453125;374.59375
0;3;432.25;420.75
0;3;477.75;433.75
0;3;429.5;390.0
1;3;436.25;418.0
1;3;217.25;205.0
0;3;188.5;190.0
0;3;406.25;342.5
0;3;385.75;338.25
0;3;407.25;340.5
0;3;422.5;374.25
1;3;374.5;363.25
1;3;206.75;207.75
0;3;201.25;202.25
0;3;NaN;NaN
0;3;414.5;375.75
0;3;377.0;326.0
0;3;368.25;319.25
1;4;NaN;NaN
1;4;NaN;NaN
0;4;NaN;NaN
0;4;NaN;NaN
0;4;NaN;NaN
0;4;NaN;NaN
0;4;NaN;NaN
1;4;NaN;NaN
1;4;NaN;NaN
0;4;NaN;NaN
0;4;NaN;NaN
0;4;NaN;NaN
0;4;NaN;NaN
0;4;NaN;NaN
1;4;NaN;NaN
1;4;172.75;163.25
0;4;160.75;152.5
0;4;381.5;312.25
0;4;380.0;335.0
0;4;371.0;332.5
0;4;358.0;312.5
1;4;278.5;232.0
1;4;154.0;151.5
1;4;145.5;147.75
1;4;157.0;157.75
0;4;394.0;356.5
0;4;408.5;367.25
0;4;417.5;373.5
1;4;379.5;339.25
1;4;175.0;176.25
1;5;163.25;156.25
0;5;330.25;292.75
0;5;378.0;317.5
0;5;367.5;317.75
0;5;386.911111111;325.919413919
1;5;352.313953488;302.072033898
1;5;170.655737705;166.134693878
0;5;181.518672199;174.917073171
0;5;324.5;288.0
0;5;377.75;332.5
0;5;347.75;317.25
0;5;359.75;311.5
1;5;NaN;NaN
1;5;237.0;222.75
0;5;214.696682464;201.519047619
0;5;384.388127854;333.786069652
0;5;394.145299145;346.618025751
0;5;394.723577236;329.983471074
0;5;397.755102041;346.004065041
1;5;379.03125;322.785714286
1;5;211.469194313;192.620853081
0;5;169.952173913;164.799107143
0;5;476.127272727;369.395348837
0;5;457.556053812;379.592105263
0;5;430.0;372.25
0;5;435.008849558;370.398230088
1;5;526.431623932;438.309734513
1;5;206.692307692;172.399122807
0;5;192.88362069;175.132478632
0;5;456.848101266;365.622881356
0;5;526.0969163;453.812765957
0;6;514.378854626;447.803571429
0;6;476.533632287;412.066964286
1;6;492.963963964;427.701298701
1;6;214.303030303;186.413333333
0;6;216.071748879;174.504504505
0;6;511.186666667;459.193832599
0;6;585.119469027;476.336283186
0;6;565.484581498;482.039823009
0;6;492.111607143;423.473451327
1;6;466.855855856;403.92
1;6;345.076233184;274.471861472
0;6;224.584415584;160.814655172
0;6;471.5;406.647826087
0;6;425.556521739;370.109649123
0;6;467.0;401.0
0;6;494.5;437.25
1;6;487.680981595;404.186170213
1;6;246.74025974;192.660869565
0;6;199.561403509;163.456140351
0;6;408.986725664;338.265217391
0;6;403.022099448;340.333333333
1;6;261.318518519;245.503787879
1;6;244.489051095;222.540441176
1;6;253.669117647;230.892592593
1;6;213.586080586;151.966542751
0;6;221.252747253;157.377289377
0;6;506.209876543;412.87966805
0;6;459.271493213;385.333333333
0;6;509.152466368;451.941441441
0;6;517.683257919;438.135746606
